Fecha Hora	Ubicacion	Objeto	Seeing	Maire	Flujo 1	Flujo 2	Var l	Var t	Centelleo 1	Centelleo 2	r0l	r0t	fwhml	fwmlt	CCD	Software	Ventana	EscalaPlaca	Distancia	Diametro	WinSpot	Gain	Texp	Sampling	N	Muestras	Return
03/10/18 20:47:01	OT	ALTAIR         	 0.0000	 1.0756	    0.0	    0.0	-0.000000	-0.000000	    0.0	    0.0	    0.0	    0.0	 0.0000	 0.0000	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	  0	    12
03/10/18 20:47:03	OT	ALTAIR         	 0.0000	 1.0757	    0.0	    0.0	-0.000000	-0.000000	    0.0	    0.0	    0.0	    0.0	 0.0000	 0.0000	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	  0	    12
03/10/18 20:47:04	OT	ALTAIR         	 0.0000	 1.0757	    0.0	    0.0	-0.000000	-0.000000	    0.0	    0.0	    0.0	    0.0	 0.0000	 0.0000	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	  0	    99
03/10/18 20:48:05	OT	ALTAIR         	 0.7136	 1.0765	 5367.9	 4738.7	 0.158077	 0.098880	 0.0512	 0.0441	 0.1396	 0.1439	 0.7239	 0.7034	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	     0
03/10/18 20:48:35	OT	ALTAIR         	 0.6521	 1.0769	 5279.3	 4771.1	 0.125736	 0.091995	 0.0464	 0.0464	 0.1602	 0.1503	 0.6308	 0.6734	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	199	     0
03/10/18 20:49:05	OT	ALTAIR         	 0.6810	 1.0773	 5415.0	 4599.4	 0.147221	 0.090974	 0.0489	 0.0586	 0.1458	 0.1513	 0.6933	 0.6688	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	197	     0
03/10/18 20:49:35	OT	ALTAIR         	 0.5340	 1.0777	 5189.3	 4639.5	 0.113627	 0.051407	 0.0436	 0.0389	 0.1704	 0.2131	 0.5934	 0.4747	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	    50
03/10/18 20:50:05	OT	ALTAIR         	 0.7420	 1.0781	 5403.5	 4674.9	 0.155766	 0.114451	 0.0460	 0.0472	 0.1410	 0.1319	 0.7169	 0.7672	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	     0
03/10/18 20:50:35	OT	ALTAIR         	 0.5993	 1.0785	 5458.3	 4666.4	 0.115265	 0.076106	 0.0568	 0.0416	 0.1690	 0.1685	 0.5982	 0.6004	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	     0
03/10/18 20:51:05	OT	ALTAIR         	 0.6622	 1.0789	 5258.0	 4752.1	 0.104031	 0.113269	 0.0488	 0.0442	 0.1797	 0.1328	 0.5624	 0.7621	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	    50
