Fecha Hora	Ubicacion	Objeto	Seeing	Maire	Flujo 1	Flujo 2	Var l	Var t	Centelleo 1	Centelleo 2	r0l	r0t	fwhml	fwmlt	CCD	Software	Ventana	EscalaPlaca	Distancia	Diametro	WinSpot	Gain	Texp	Sampling	N	Muestras	Return
29/09/18 20:01:37	OT	VEGA           	 0.9380	 1.0361	11781.2	10774.0	 0.245300	 0.146710	 0.0526	 0.0676	 0.1048	 0.1110	 0.9641	 0.9119	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	     0
29/09/18 20:02:07	OT	VEGA           	 0.8706	 1.0364	11711.6	10363.8	 0.182104	 0.153015	 0.0733	 0.0606	 0.1254	 0.1082	 0.8061	 0.9351	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	     0
29/09/18 20:02:37	OT	VEGA           	 0.9303	 1.0368	11871.6	10750.6	 0.231440	 0.151693	 0.0754	 0.0592	 0.1086	 0.1088	 0.9307	 0.9300	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	     0
29/09/18 20:03:07	OT	VEGA           	 0.8219	 1.0372	11675.3	10524.5	 0.188814	 0.123117	 0.0467	 0.0398	 0.1228	 0.1233	 0.8235	 0.8203	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	     0
29/09/18 20:03:37	OT	VEGA           	 0.9405	 1.0376	11667.9	10932.5	 0.245781	 0.148165	 0.0532	 0.0665	 0.1048	 0.1104	 0.9644	 0.9166	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	     0
29/09/18 20:04:07	OT	VEGA           	 1.1757	 1.0379	11549.0	10398.1	 0.320839	 0.238719	 0.0476	 0.0582	 0.0893	 0.0829	 1.1314	 1.2200	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	     0
29/09/18 20:04:37	OT	VEGA           	 1.0826	 1.0383	11455.5	10444.9	 0.268273	 0.216157	 0.0434	 0.0500	 0.0995	 0.0880	 1.0160	 1.1492	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	     0
29/09/18 20:05:07	OT	VEGA           	 0.9613	 1.0387	11370.4	10516.7	 0.248502	 0.158128	 0.0467	 0.0493	 0.1042	 0.1062	 0.9702	 0.9524	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	     0
29/09/18 20:05:37	OT	VEGA           	 0.9353	 1.0391	11382.4	10746.3	 0.223501	 0.160395	 0.0493	 0.0563	 0.1111	 0.1054	 0.9101	 0.9604	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	     0
29/09/18 20:06:07	OT	VEGA           	 1.4332	 1.0395	11648.7	10446.8	 0.470644	 0.316573	 0.0541	 0.0680	 0.0711	 0.0701	 1.4225	 1.4438	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	     0
