Fecha Hora	Ubicacion	Objeto	Seeing	Maire	Flujo 1	Flujo 2	Var l	Var t	Centelleo 1	Centelleo 2	r0l	r0t	fwhml	fwmlt	CCD	Software	Ventana	EscalaPlaca	Distancia	Diametro	WinSpot	Gain	Texp	Sampling	N	Muestras	Return
18/09/18 23:36:17	OT	ENIF           	 0.3447	 1.0670	 1345.4	 1216.4	 0.044460	 0.030556	 0.0332	 0.0450	 0.2973	 0.2895	 0.3400	 0.3495	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	     0
18/09/18 23:36:47	OT	ENIF           	 0.3337	 1.0674	 1359.2	 1208.7	 0.044870	 0.027151	 0.0438	 0.0446	 0.2958	 0.3108	 0.3418	 0.3255	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	     0
18/09/18 23:37:17	OT	ENIF           	 0.3464	 1.0677	 1349.6	 1204.6	 0.048899	 0.028218	 0.0438	 0.0439	 0.2810	 0.3038	 0.3598	 0.3331	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	     0
18/09/18 23:37:47	OT	ENIF           	 0.3527	 1.0681	 1322.2	 1207.4	 0.050891	 0.028775	 0.0432	 0.0524	 0.2744	 0.3003	 0.3684	 0.3369	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	     0
18/09/18 23:38:17	OT	ENIF           	 0.4319	 1.0684	 1357.2	 1211.0	 0.052869	 0.053172	 0.0433	 0.0338	 0.2682	 0.2078	 0.3769	 0.4869	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	    50
18/09/18 23:38:47	OT	ENIF           	 0.3647	 1.0688	 1313.5	 1225.8	 0.049946	 0.032932	 0.0406	 0.0440	 0.2776	 0.2770	 0.3642	 0.3652	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	     0
18/09/18 23:39:17	OT	ENIF           	 0.3690	 1.0692	 1327.0	 1248.2	 0.046231	 0.036820	 0.0485	 0.0505	 0.2908	 0.2592	 0.3476	 0.3904	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	     0
18/09/18 23:39:47	OT	ENIF           	 0.3704	 1.0696	 1347.7	 1189.5	 0.053477	 0.032420	 0.0478	 0.0482	 0.2666	 0.2798	 0.3792	 0.3616	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	     0
18/09/18 23:40:17	OT	ENIF           	 0.4065	 1.0700	 1362.0	 1229.7	 0.056691	 0.041668	 0.0407	 0.0458	 0.2574	 0.2407	 0.3927	 0.4203	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	     0
18/09/18 23:40:47	OT	ENIF           	 0.3500	 1.0704	 1313.4	 1236.2	 0.045380	 0.031675	 0.0354	 0.0437	 0.2943	 0.2838	 0.3435	 0.3565	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	     0
18/09/18 23:41:17	OT	ENIF           	 0.3473	 1.0708	 1341.1	 1221.2	 0.046865	 0.029923	 0.0296	 0.0387	 0.2887	 0.2938	 0.3501	 0.3444	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	     0
18/09/18 23:41:47	OT	ENIF           	 0.3845	 1.0712	 1352.1	 1191.1	 0.051691	 0.038038	 0.0433	 0.0434	 0.2723	 0.2544	 0.3713	 0.3977	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	     0
18/09/18 23:42:17	OT	ENIF           	 0.3872	 1.0716	 1321.5	 1188.6	 0.053406	 0.037756	 0.0425	 0.0357	 0.2671	 0.2556	 0.3785	 0.3958	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	     0
18/09/18 23:42:47	OT	ENIF           	 0.4026	 1.0720	 1345.7	 1200.3	 0.061091	 0.037633	 0.0349	 0.0423	 0.2464	 0.2562	 0.4102	 0.3950	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	     0
