Fecha Hora	Ubicacion	Objeto	Seeing	Maire	Flujo 1	Flujo 2	Var l	Var t	Centelleo 1	Centelleo 2	r0l	r0t	fwhml	fwmlt	CCD	Software	Ventana	EscalaPlaca	Distancia	Diametro	WinSpot	Gain	Texp	Sampling	N	Muestras	Return
06/09/18 20:42:52	OT	VEGA           	 2.0733	 1.0171	11311.5	 9908.9	 0.687504	 0.691291	 0.0588	 0.0762	 0.0559	 0.0433	 1.8093	 2.3373	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	 45	    12
06/09/18 20:43:02	OT	VEGA           	 2.2801	 1.0171	11214.6	10256.4	 0.925396	 0.721372	 0.0459	 0.0640	 0.0467	 0.0422	 2.1624	 2.3978	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	 53	    12
06/09/18 20:43:13	OT	VEGA           	 1.7352	 1.0171	11140.6	10468.7	 0.680106	 0.395925	 0.0668	 0.0441	 0.0562	 0.0605	 1.7975	 1.6729	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	 67	    12
06/09/18 20:43:28	OT	VEGA           	 1.9046	 1.0171	11266.7	10327.7	 0.603981	 0.594669	 0.0604	 0.0652	 0.0604	 0.0474	 1.6739	 2.1353	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	 85	    12
06/09/18 20:43:35	OT	VEGA           	 1.9327	 1.0171	11209.8	 9803.7	 0.531494	 0.680404	 0.0662	 0.0612	 0.0652	 0.0437	 1.5503	 2.3151	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	 40	    12
06/09/18 20:44:28	OT	VEGA           	 1.7761	 1.0171	11333.9	 9882.5	 0.699847	 0.416143	 0.0524	 0.0679	 0.0553	 0.0587	 1.8286	 1.7236	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	199	     0
06/09/18 20:44:58	OT	VEGA           	 1.9562	 1.0172	11639.2	10181.1	 0.762929	 0.527314	 0.0385	 0.0550	 0.0525	 0.0509	 1.9257	 1.9866	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	197	     0
06/09/18 20:45:28	OT	VEGA           	 1.8765	 1.0172	11413.5	10317.3	 0.874386	 0.392115	 0.0534	 0.0565	 0.0484	 0.0608	 2.0898	 1.6631	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	199	    50
06/09/18 20:45:58	OT	VEGA           	 2.0414	 1.0173	11257.6	10234.0	 0.962102	 0.476652	 0.0618	 0.0607	 0.0457	 0.0541	 2.2132	 1.8697	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	198	     0
06/09/18 20:46:28	OT	VEGA           	 2.0105	 1.0173	11489.0	 9966.7	 0.902705	 0.485671	 0.0714	 0.0566	 0.0475	 0.0535	 2.1301	 1.8908	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	     0
06/09/18 20:46:58	OT	VEGA           	 1.7218	 1.0174	11429.4	10323.6	 0.721280	 0.360752	 0.0646	 0.0548	 0.0543	 0.0640	 1.8617	 1.5818	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	198	     0
06/09/18 20:47:28	OT	VEGA           	 1.9957	 1.0174	11290.4	10323.8	 0.877280	 0.488666	 0.0798	 0.0589	 0.0483	 0.0533	 2.0938	 1.8977	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	196	     0
06/09/18 20:47:58	OT	VEGA           	 1.8978	 1.0175	11320.4	10158.5	 0.788036	 0.461029	 0.0821	 0.0817	 0.0515	 0.0552	 1.9632	 1.8325	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	198	     0
06/09/18 20:48:28	OT	VEGA           	 2.4420	 1.0175	11528.3	10215.2	 1.268222	 0.659822	 0.0776	 0.0833	 0.0387	 0.0445	 2.6117	 2.2722	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	197	     0
06/09/18 20:48:58	OT	VEGA           	 2.5764	 1.0176	11437.7	 9818.1	 1.601211	 0.601321	 0.0807	 0.0784	 0.0337	 0.0471	 3.0038	 2.1490	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	199	    50
06/09/18 20:49:29	OT	VEGA           	 1.9362	 1.0177	11451.5	10109.6	 0.861380	 0.448302	 0.0594	 0.0566	 0.0488	 0.0562	 2.0706	 1.8018	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	199	     0
06/09/18 20:49:59	OT	VEGA           	 2.3955	 1.0177	11848.3	10129.6	 1.138024	 0.695006	 0.0678	 0.0878	 0.0413	 0.0432	 2.4471	 2.3439	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	196	     0
06/09/18 20:50:29	OT	VEGA           	 2.2818	 1.0178	11125.6	 9905.0	 1.092750	 0.613885	 0.0927	 0.0851	 0.0423	 0.0465	 2.3881	 2.1756	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	193	     0
06/09/18 20:50:59	OT	VEGA           	 1.9385	 1.0179	11387.1	10236.8	 0.831276	 0.468789	 0.0784	 0.0701	 0.0499	 0.0547	 2.0266	 1.8505	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	     0
06/09/18 20:51:29	OT	VEGA           	 1.8030	 1.0180	11773.5	10101.1	 0.849547	 0.350021	 0.0583	 0.0594	 0.0492	 0.0652	 2.0531	 1.5529	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	    50
06/09/18 20:51:59	OT	VEGA           	 2.1983	 1.0180	11317.1	10232.7	 0.922385	 0.644488	 0.0599	 0.0787	 0.0469	 0.0452	 2.1569	 2.2397	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	     0
06/09/18 20:52:29	OT	VEGA           	 1.6492	 1.0181	11165.2	10300.7	 0.542057	 0.419367	 0.0631	 0.0651	 0.0645	 0.0585	 1.5678	 1.7306	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	199	     0
06/09/18 20:52:59	OT	VEGA           	 1.8782	 1.0182	11479.8	 9984.1	 0.925891	 0.366005	 0.0629	 0.0693	 0.0468	 0.0634	 2.1616	 1.5948	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	    50
06/09/18 20:53:29	OT	VEGA           	 1.6767	 1.0183	11750.8	10155.4	 0.639660	 0.376533	 0.0502	 0.0588	 0.0584	 0.0624	 1.7313	 1.6221	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	     0
06/09/18 20:53:59	OT	VEGA           	 1.9200	 1.0184	11055.7	10139.4	 0.841268	 0.447685	 0.0576	 0.0661	 0.0495	 0.0562	 2.0406	 1.7995	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	198	     0
06/09/18 20:54:29	OT	VEGA           	 1.7552	 1.0185	11725.5	10209.7	 0.712919	 0.392535	 0.0466	 0.0568	 0.0547	 0.0608	 1.8475	 1.6629	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	198	     0
06/09/18 20:54:59	OT	VEGA           	 2.0120	 1.0186	11509.1	10266.2	 0.936846	 0.467908	 0.0586	 0.0641	 0.0464	 0.0548	 2.1764	 1.8476	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	     0
06/09/18 20:55:29	OT	VEGA           	 1.8964	 1.0187	11417.8	10204.9	 0.746731	 0.487487	 0.0766	 0.0718	 0.0532	 0.0534	 1.8994	 1.8935	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	198	     0
06/09/18 20:55:50	OT	VEGA           	 2.5511	 1.0188	11394.9	10210.9	 1.291435	 0.756078	 0.0704	 0.1027	 0.0383	 0.0411	 2.6383	 2.4638	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	137	    12
06/09/18 20:56:01	OT	VEGA           	 3.8573	 1.0188	10529.4	10377.4	 1.921659	 1.961906	 0.0798	 0.0670	 0.0302	 0.0232	 3.3487	 4.3658	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	 61	    12
06/09/18 20:56:31	OT	VEGA           	 2.3065	 1.0190	11131.2	 9988.1	 1.083514	 0.644604	 0.0752	 0.0759	 0.0426	 0.0452	 2.3744	 2.2387	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	194	     0
06/09/18 20:57:01	OT	VEGA           	 2.0464	 1.0191	10990.4	10090.5	 0.908930	 0.514840	 0.0639	 0.0716	 0.0473	 0.0517	 2.1367	 1.9561	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	     0
06/09/18 20:57:31	OT	VEGA           	 1.7992	 1.0192	11418.8	10462.1	 0.685763	 0.445834	 0.0814	 0.0861	 0.0560	 0.0564	 1.8042	 1.7942	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	199	     0
06/09/18 20:58:01	OT	VEGA           	 2.1078	 1.0193	11341.9	10153.9	 1.008476	 0.508651	 0.0857	 0.0937	 0.0445	 0.0521	 2.2738	 1.9417	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	196	     0
06/09/18 20:58:31	OT	VEGA           	 2.3895	 1.0195	11200.9	10343.9	 1.163313	 0.675510	 0.0812	 0.0819	 0.0408	 0.0440	 2.4771	 2.3018	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	198	     0
06/09/18 20:59:01	OT	VEGA           	 2.4535	 1.0196	11225.1	10170.6	 1.230625	 0.696845	 0.1005	 0.0920	 0.0395	 0.0431	 2.5619	 2.3450	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	197	     0
06/09/18 20:59:31	OT	VEGA           	 2.0890	 1.0197	11723.3	10095.1	 1.003564	 0.495680	 0.0868	 0.0839	 0.0446	 0.0529	 2.2666	 1.9114	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	198	     0
06/09/18 21:00:01	OT	VEGA           	 1.7875	 1.0199	11338.8	 9905.9	 0.759178	 0.391117	 0.0844	 0.0860	 0.0527	 0.0610	 1.9170	 1.6580	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	192	     0
06/09/18 21:00:31	OT	VEGA           	 2.0520	 1.0200	10956.9	10080.0	 0.897871	 0.527629	 0.0900	 0.0924	 0.0477	 0.0510	 2.1199	 1.9841	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	193	     0
06/09/18 21:01:01	OT	VEGA           	 1.7503	 1.0201	11161.3	10210.8	 0.718615	 0.386557	 0.0961	 0.0992	 0.0545	 0.0615	 1.8546	 1.6461	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	197	     0
06/09/18 21:01:31	OT	VEGA           	 1.8341	 1.0203	11344.6	10485.1	 0.715411	 0.456590	 0.0777	 0.0903	 0.0547	 0.0556	 1.8494	 1.8189	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	199	     0
06/09/18 21:02:01	OT	VEGA           	 1.4862	 1.0204	11785.8	10004.0	 0.521722	 0.310193	 0.0810	 0.0655	 0.0661	 0.0702	 1.5301	 1.4422	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	199	     0
06/09/18 21:02:31	OT	VEGA           	 1.5410	 1.0206	11060.1	10341.1	 0.579039	 0.314233	 0.0800	 0.0622	 0.0621	 0.0696	 1.6287	 1.4533	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	199	     0
06/09/18 21:03:01	OT	VEGA           	 2.0112	 1.0208	11312.2	10307.8	 0.800290	 0.555254	 0.0643	 0.0638	 0.0511	 0.0495	 1.9776	 2.0448	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	199	     0
06/09/18 21:03:31	OT	VEGA           	 1.9293	 1.0209	10987.8	10533.5	 0.794301	 0.487072	 0.0834	 0.0802	 0.0514	 0.0535	 1.9685	 1.8901	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	196	     0
06/09/18 21:04:01	OT	VEGA           	 1.7894	 1.0211	11286.5	10255.2	 0.738941	 0.405874	 0.0723	 0.0708	 0.0536	 0.0597	 1.8848	 1.6940	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	199	     0
