Fecha Hora	Ubicacion	Objeto	Seeing	Maire	Flujo 1	Flujo 2	Var l	Var t	Centelleo 1	Centelleo 2	r0l	r0t	fwhml	fwmlt	CCD	Software	Ventana	EscalaPlaca	Distancia	Diametro	WinSpot	Gain	Texp	Sampling	N	Muestras	Return
02/09/18 20:19:20	OT	RASALHAGUE     	 0.8173	 1.0450	 1614.5	 1281.8	 0.206561	 0.111473	 0.0783	 0.0805	 0.1168	 0.1315	 0.8652	 0.7694	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	     0
02/09/18 20:19:50	OT	RASALHAGUE     	 0.9682	 1.0452	 1542.0	 1304.2	 0.270233	 0.150182	 0.0915	 0.0956	 0.0995	 0.1100	 1.0164	 0.9199	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	     0
02/09/18 20:20:20	OT	RASALHAGUE     	 0.8485	 1.0455	 1578.3	 1301.4	 0.209373	 0.125307	 0.0737	 0.1032	 0.1159	 0.1226	 0.8720	 0.8251	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	     0
02/09/18 20:20:50	OT	RASALHAGUE     	 0.9141	 1.0457	 1605.3	 1263.5	 0.233014	 0.144477	 0.0617	 0.0833	 0.1087	 0.1126	 0.9297	 0.8986	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	     0
02/09/18 20:21:20	OT	RASALHAGUE     	 0.8687	 1.0460	 1618.6	 1197.4	 0.212930	 0.133478	 0.0697	 0.0784	 0.1148	 0.1181	 0.8806	 0.8567	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	     0
02/09/18 20:21:50	OT	RASALHAGUE     	 0.7924	 1.0462	 1567.8	 1242.4	 0.187801	 0.111314	 0.0624	 0.0691	 0.1238	 0.1317	 0.8166	 0.7682	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	     0
02/09/18 20:22:20	OT	RASALHAGUE     	 0.8410	 1.0465	 1552.6	 1220.5	 0.194445	 0.131375	 0.0598	 0.0603	 0.1213	 0.1193	 0.8336	 0.8484	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	     0
02/09/18 20:22:50	OT	RASALHAGUE     	 0.7870	 1.0467	 1580.6	 1236.2	 0.200255	 0.101279	 0.0686	 0.0775	 0.1192	 0.1394	 0.8484	 0.7256	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	     0
02/09/18 20:23:20	OT	RASALHAGUE     	 0.7204	 1.0470	 1579.1	 1258.3	 0.195884	 0.074556	 0.0451	 0.0469	 0.1208	 0.1676	 0.8371	 0.6037	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	    50
02/09/18 20:23:50	OT	RASALHAGUE     	 0.8883	 1.0473	 1537.1	 1280.8	 0.227863	 0.134525	 0.0598	 0.0676	 0.1103	 0.1176	 0.9164	 0.8601	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	     0
02/09/18 20:24:20	OT	RASALHAGUE     	 0.9125	 1.0476	 1561.1	 1291.8	 0.253078	 0.131708	 0.0772	 0.0526	 0.1036	 0.1192	 0.9759	 0.8491	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	     0
02/09/18 20:24:50	OT	RASALHAGUE     	 0.8617	 1.0478	 1587.1	 1292.9	 0.239408	 0.114288	 0.0751	 0.0778	 0.1071	 0.1298	 0.9437	 0.7797	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	199	    50
02/09/18 20:25:20	OT	RASALHAGUE     	 0.7238	 1.0481	 1597.0	 1246.7	 0.196228	 0.075981	 0.0669	 0.0662	 0.1207	 0.1658	 0.8374	 0.6102	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	    50
02/09/18 20:25:50	OT	RASALHAGUE     	 0.8203	 1.0484	 1587.7	 1287.2	 0.229753	 0.100172	 0.0759	 0.0670	 0.1098	 0.1405	 0.9204	 0.7202	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	    50
02/09/18 20:26:20	OT	RASALHAGUE     	 0.7228	 1.0487	 1577.4	 1228.1	 0.173619	 0.088317	 0.0753	 0.0972	 0.1300	 0.1515	 0.7779	 0.6677	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	     0
02/09/18 20:26:50	OT	RASALHAGUE     	 0.8414	 1.0490	 1576.9	 1223.4	 0.188913	 0.135907	 0.0926	 0.1067	 0.1236	 0.1170	 0.8181	 0.8646	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	     0
02/09/18 20:27:20	OT	RASALHAGUE     	 0.8033	 1.0493	 1534.7	 1257.8	 0.198257	 0.110770	 0.0752	 0.0737	 0.1200	 0.1323	 0.8420	 0.7646	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	     0
02/09/18 20:27:50	OT	RASALHAGUE     	 0.8520	 1.0496	 1613.5	 1261.8	 0.215907	 0.123963	 0.0759	 0.0723	 0.1141	 0.1237	 0.8861	 0.8178	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	     0
02/09/18 20:28:20	OT	RASALHAGUE     	 0.8362	 1.0499	 1499.0	 1277.3	 0.229001	 0.108424	 0.0718	 0.0618	 0.1101	 0.1341	 0.9178	 0.7546	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	    50
02/09/18 20:28:50	OT	RASALHAGUE     	 0.9063	 1.0503	 1517.4	 1259.2	 0.219903	 0.150134	 0.0741	 0.0735	 0.1129	 0.1103	 0.8956	 0.9171	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	     0
02/09/18 20:29:20	OT	RASALHAGUE     	 0.8302	 1.0506	 1619.8	 1282.0	 0.176711	 0.138871	 0.0674	 0.0780	 0.1287	 0.1156	 0.7853	 0.8750	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	     0
02/09/18 20:29:50	OT	RASALHAGUE     	 0.7171	 1.0509	 1544.2	 1273.8	 0.156466	 0.096730	 0.0766	 0.0624	 0.1385	 0.1437	 0.7299	 0.7042	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	     0
02/09/18 20:30:20	OT	RASALHAGUE     	 0.8031	 1.0512	 1623.1	 1264.6	 0.187729	 0.117720	 0.0783	 0.0821	 0.1242	 0.1277	 0.8140	 0.7921	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	     0
02/09/18 20:30:50	OT	RASALHAGUE     	 0.8795	 1.0516	 1557.7	 1254.8	 0.241887	 0.122566	 0.1180	 0.0991	 0.1067	 0.1247	 0.9476	 0.8114	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	     0
02/09/18 20:31:20	OT	RASALHAGUE     	 0.9624	 1.0519	 1528.0	 1272.5	 0.309496	 0.126442	 0.1215	 0.1165	 0.0920	 0.1224	 1.0984	 0.8265	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	    50
02/09/18 20:31:50	OT	RASALHAGUE     	 0.9565	 1.0523	 1502.6	 1231.5	 0.288518	 0.135147	 0.1136	 0.1112	 0.0960	 0.1176	 1.0529	 0.8601	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	    50
02/09/18 20:32:20	OT	RASALHAGUE     	 0.9592	 1.0526	 1513.3	 1209.2	 0.300473	 0.129915	 0.1488	 0.1351	 0.0937	 0.1205	 1.0786	 0.8397	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	    50
02/09/18 20:32:50	OT	RASALHAGUE     	 0.9058	 1.0530	 1537.2	 1285.5	 0.235061	 0.140752	 0.1302	 0.1501	 0.1086	 0.1149	 0.9307	 0.8809	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	     0
02/09/18 20:33:20	OT	RASALHAGUE     	 0.7304	 1.0533	 1543.6	 1279.2	 0.172289	 0.093382	 0.0766	 0.0940	 0.1309	 0.1469	 0.7722	 0.6885	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	     0
02/09/18 20:33:50	OT	RASALHAGUE     	 0.7896	 1.0537	 1553.3	 1288.9	 0.192658	 0.108594	 0.0712	 0.0754	 0.1224	 0.1343	 0.8256	 0.7536	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	     0
02/09/18 20:34:20	OT	RASALHAGUE     	 0.8305	 1.0541	 1533.8	 1314.3	 0.213711	 0.115688	 0.0879	 0.0783	 0.1151	 0.1293	 0.8784	 0.7827	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	     0
02/09/18 20:34:50	OT	RASALHAGUE     	 0.9161	 1.0544	 1591.3	 1270.6	 0.267645	 0.126853	 0.1008	 0.0865	 0.1006	 0.1224	 1.0052	 0.8270	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	    50
02/09/18 20:35:20	OT	RASALHAGUE     	 1.0275	 1.0548	 1563.8	 1236.3	 0.308965	 0.162589	 0.0613	 0.0613	 0.0923	 0.1054	 1.0954	 0.9595	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	199	     0
02/09/18 20:35:50	OT	RASALHAGUE     	 0.9600	 1.0552	 1588.9	 1296.2	 0.290956	 0.136480	 0.0746	 0.0912	 0.0957	 0.1172	 1.0564	 0.8637	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	    50
02/09/18 20:36:20	OT	RASALHAGUE     	 0.8557	 1.0556	 1641.4	 1249.9	 0.256153	 0.103859	 0.1505	 0.1075	 0.1033	 0.1380	 0.9785	 0.7330	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	    50
02/09/18 20:36:50	OT	RASALHAGUE     	 0.8688	 1.0560	 1576.5	 1293.7	 0.252025	 0.112532	 0.1173	 0.1360	 0.1043	 0.1316	 0.9687	 0.7689	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	    50
02/09/18 20:37:20	OT	RASALHAGUE     	 0.8250	 1.0564	 1552.1	 1267.2	 0.238663	 0.099188	 0.1403	 0.0988	 0.1078	 0.1420	 0.9374	 0.7127	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	    50
02/09/18 20:37:50	OT	RASALHAGUE     	 0.9588	 1.0568	 1588.9	 1231.1	 0.280242	 0.142521	 0.1419	 0.1338	 0.0980	 0.1142	 1.0320	 0.8856	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	     0
02/09/18 20:38:20	OT	RASALHAGUE     	 0.8253	 1.0572	 1569.6	 1277.3	 0.236288	 0.100800	 0.1230	 0.1231	 0.1085	 0.1407	 0.9313	 0.7193	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	    50
02/09/18 20:38:50	OT	RASALHAGUE     	 0.8801	 1.0576	 1534.6	 1207.0	 0.247442	 0.121151	 0.1398	 0.1281	 0.1056	 0.1260	 0.9573	 0.8030	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	     0
