
date: 03/10/2018 07:36:12.613	code: Info	text: Focus Server started at port 3340....
date: 03/10/2018 07:36:15.551	code: Info	text: Connected by ('127.0.0.1', 3678) --> command: ping
date: 03/10/2018 07:36:15.551	code: Info	text: self.ping()
date: 03/10/2018 07:36:15.551	code: Info	text: 0
date: 03/10/2018 07:36:32.319	code: Info	text: Connected by ('127.0.0.1', 3683) --> command: ping
date: 03/10/2018 07:36:32.319	code: Info	text: self.ping()
date: 03/10/2018 07:36:32.319	code: Info	text: 0
date: 03/10/2018 07:36:48.430	code: Info	text: Connected by ('127.0.0.1', 3689) --> command: ping
date: 03/10/2018 07:36:48.430	code: Info	text: self.ping()
date: 03/10/2018 07:36:48.430	code: Info	text: 0
date: 03/10/2018 07:37:19.621	code: Info	text: Connected by ('127.0.0.1', 3703) --> command: ping
date: 03/10/2018 07:37:19.637	code: Info	text: self.ping()
date: 03/10/2018 07:37:19.637	code: Info	text: 0
date: 03/10/2018 07:38:04.658	code: Info	text: Connected by ('127.0.0.1', 3717) --> command: ping
date: 03/10/2018 07:38:04.658	code: Info	text: self.ping()
date: 03/10/2018 07:38:04.674	code: Info	text: 0
date: 03/10/2018 07:38:59.086	code: Info	text: Connected by ('127.0.0.1', 3732) --> command: ping
date: 03/10/2018 07:38:59.086	code: Info	text: self.ping()
date: 03/10/2018 07:38:59.086	code: Info	text: 0
date: 03/10/2018 07:39:44.623	code: Info	text: Connected by ('127.0.0.1', 3741) --> command: ping
date: 03/10/2018 07:39:44.623	code: Info	text: self.ping()
date: 03/10/2018 07:39:44.623	code: Info	text: 0
date: 03/10/2018 07:40:17.096	code: Info	text: Connected by ('127.0.0.1', 3749) --> command: ping
date: 03/10/2018 07:40:17.096	code: Info	text: self.ping()
date: 03/10/2018 07:40:17.096	code: Info	text: 0
date: 03/10/2018 07:40:33.020	code: Info	text: Connected by ('127.0.0.1', 3768) --> command: ping
date: 03/10/2018 07:40:33.020	code: Info	text: self.ping()
date: 03/10/2018 07:40:33.020	code: Info	text: 0
date: 03/10/2018 07:40:48.678	code: Info	text: Connected by ('127.0.0.1', 3785) --> command: ping
date: 03/10/2018 07:40:48.678	code: Info	text: self.ping()
date: 03/10/2018 07:40:48.678	code: Info	text: 0
date: 03/10/2018 07:41:03.820	code: Info	text: Connected by ('127.0.0.1', 3802) --> command: ping
date: 03/10/2018 07:41:03.820	code: Info	text: self.ping()
date: 03/10/2018 07:41:03.820	code: Info	text: 0
date: 03/10/2018 07:41:19.072	code: Info	text: Connected by ('127.0.0.1', 3820) --> command: ping
date: 03/10/2018 07:41:19.072	code: Info	text: self.ping()
date: 03/10/2018 07:41:19.072	code: Info	text: 0
date: 03/10/2018 07:41:35.137	code: Info	text: Connected by ('127.0.0.1', 3837) --> command: ping
date: 03/10/2018 07:41:35.137	code: Info	text: self.ping()
date: 03/10/2018 07:41:35.137	code: Info	text: 0
date: 03/10/2018 07:42:20.314	code: Info	text: Connected by ('127.0.0.1', 3850) --> command: ping
date: 03/10/2018 07:42:20.314	code: Info	text: self.ping()
date: 03/10/2018 07:42:20.314	code: Info	text: 0
date: 03/10/2018 07:42:52.084	code: Info	text: Connected by ('127.0.0.1', 3856) --> command: ping
date: 03/10/2018 07:42:52.084	code: Info	text: self.ping()
date: 03/10/2018 07:42:52.084	code: Info	text: 0
date: 03/10/2018 07:43:03.913	code: Info	text: Connected by ('127.0.0.1', 3867) --> command: rwd_time:1
date: 03/10/2018 07:43:03.913	code: Info	text: self.rwd_time(1)
date: 03/10/2018 07:43:04.460	code: Info	text: OK
date: 03/10/2018 07:43:04.460	code: Info	text: Connected by ('127.0.0.1', 3868) --> command: get_pos
date: 03/10/2018 07:43:04.460	code: Info	text: self.get_pos()
date: 03/10/2018 07:43:04.476	code: Info	text: 0.115493774
date: 03/10/2018 07:43:07.132	code: Info	text: Connected by ('127.0.0.1', 3875) --> command: ping
date: 03/10/2018 07:43:07.132	code: Info	text: self.ping()
date: 03/10/2018 07:43:07.132	code: Info	text: 0.115493774
date: 03/10/2018 07:43:47.838	code: Info	text: Connected by ('127.0.0.1', 3888) --> command: ping
date: 03/10/2018 07:43:47.838	code: Info	text: self.ping()
date: 03/10/2018 07:43:47.838	code: Info	text: 0.115493774
date: 03/10/2018 07:44:02.886	code: Info	text: Connected by ('127.0.0.1', 3902) --> command: ping
date: 03/10/2018 07:44:02.886	code: Info	text: self.ping()
date: 03/10/2018 07:44:02.886	code: Info	text: 0.115493774
date: 03/10/2018 07:44:48.017	code: Info	text: Connected by ('127.0.0.1', 3911) --> command: ping
date: 03/10/2018 07:44:48.017	code: Info	text: self.ping()
date: 03/10/2018 07:44:48.017	code: Info	text: 0.115493774
date: 03/10/2018 07:45:18.067	code: Info	text: Connected by ('127.0.0.1', 3918) --> command: ping
date: 03/10/2018 07:45:18.067	code: Info	text: self.ping()
date: 03/10/2018 07:45:18.067	code: Info	text: 0.115493774
date: 03/10/2018 07:45:29.647	code: Info	text: Connected by ('127.0.0.1', 3931) --> command: ping
date: 03/10/2018 07:45:29.647	code: Info	text: self.ping()
date: 03/10/2018 07:45:29.647	code: Info	text: 0.115493774
date: 03/10/2018 07:45:34.710	code: Info	text: Connected by ('127.0.0.1', 3940) --> command: ping
date: 03/10/2018 07:45:34.710	code: Info	text: self.ping()
date: 03/10/2018 07:45:34.710	code: Info	text: 0.115493774
date: 03/10/2018 07:45:44.789	code: Info	text: Connected by ('127.0.0.1', 3952) --> command: ping
date: 03/10/2018 07:45:44.789	code: Info	text: self.ping()
date: 03/10/2018 07:45:44.789	code: Info	text: 0.115493774
date: 03/10/2018 07:45:49.743	code: Info	text: Connected by ('127.0.0.1', 3961) --> command: ping
date: 03/10/2018 07:45:49.743	code: Info	text: self.ping()
date: 03/10/2018 07:45:49.743	code: Info	text: 0.115493774
date: 03/10/2018 07:45:59.822	code: Info	text: Connected by ('127.0.0.1', 3974) --> command: ping
date: 03/10/2018 07:45:59.822	code: Info	text: self.ping()
date: 03/10/2018 07:45:59.822	code: Info	text: 0.115493774
date: 03/10/2018 07:46:06.573	code: Info	text: Connected by ('127.0.0.1', 3985) --> command: ping
date: 03/10/2018 07:46:06.573	code: Info	text: self.ping()
