
date: 04/11/2018 19:28:39.683	code: Info	text: Connected by ('127.0.0.1', 3492) --> command: ping
date: 04/11/2018 19:28:39.683	code: Info	text: self.ping()
date: 04/11/2018 19:28:39.683	code: Info	text: 0
date: 04/11/2018 19:28:54.982	code: Info	text: Connected by ('127.0.0.1', 3509) --> command: ping
date: 04/11/2018 19:28:54.982	code: Info	text: self.ping()
date: 04/11/2018 19:28:54.982	code: Info	text: 0
date: 04/11/2018 19:29:10.499	code: Info	text: Connected by ('127.0.0.1', 3529) --> command: ping
date: 04/11/2018 19:29:10.499	code: Info	text: self.ping()
date: 04/11/2018 19:29:10.499	code: Info	text: 0
date: 04/11/2018 19:29:25.531	code: Info	text: Connected by ('127.0.0.1', 3546) --> command: ping
date: 04/11/2018 19:29:25.531	code: Info	text: self.ping()
date: 04/11/2018 19:29:25.531	code: Info	text: 0
date: 04/11/2018 19:29:41.533	code: Info	text: Connected by ('127.0.0.1', 3567) --> command: ping
date: 04/11/2018 19:29:41.533	code: Info	text: self.ping()
date: 04/11/2018 19:29:41.533	code: Info	text: 0
date: 04/11/2018 19:29:57.862	code: Info	text: Connected by ('127.0.0.1', 3586) --> command: ping
date: 04/11/2018 19:29:57.862	code: Info	text: self.ping()
date: 04/11/2018 19:29:57.862	code: Info	text: 0
date: 04/11/2018 19:30:26.287	code: Info	text: Connected by ('127.0.0.1', 3598) --> command: ping
date: 04/11/2018 19:30:26.287	code: Info	text: self.ping()
date: 04/11/2018 19:30:26.287	code: Info	text: 0
date: 04/11/2018 19:30:41.350	code: Info	text: Connected by ('127.0.0.1', 3607) --> command: ping
date: 04/11/2018 19:30:41.350	code: Info	text: self.ping()
date: 04/11/2018 19:30:41.350	code: Info	text: 0
date: 04/11/2018 19:30:56.383	code: Info	text: Connected by ('127.0.0.1', 3612) --> command: ping
date: 04/11/2018 19:30:56.383	code: Info	text: self.ping()
date: 04/11/2018 19:30:56.383	code: Info	text: 0
date: 04/11/2018 19:31:11.431	code: Info	text: Connected by ('127.0.0.1', 3620) --> command: ping
date: 04/11/2018 19:31:11.431	code: Info	text: self.ping()
date: 04/11/2018 19:31:11.431	code: Info	text: 0
date: 04/11/2018 19:31:26.479	code: Info	text: Connected by ('127.0.0.1', 3626) --> command: ping
date: 04/11/2018 19:31:26.479	code: Info	text: self.ping()
date: 04/11/2018 19:31:26.479	code: Info	text: 0
date: 04/11/2018 19:32:11.749	code: Info	text: Connected by ('127.0.0.1', 3640) --> command: ping
date: 04/11/2018 19:32:11.749	code: Info	text: self.ping()
date: 04/11/2018 19:32:11.749	code: Info	text: 0
date: 04/11/2018 19:32:32.985	code: Info	text: Connected by ('127.0.0.1', 3646) --> command: ping
date: 04/11/2018 19:32:32.985	code: Info	text: self.ping()
date: 04/11/2018 19:32:32.985	code: Info	text: 0
date: 04/11/2018 19:32:48.018	code: Info	text: Connected by ('127.0.0.1', 3667) --> command: ping
date: 04/11/2018 19:32:48.018	code: Info	text: self.ping()
date: 04/11/2018 19:32:48.018	code: Info	text: 0
date: 04/11/2018 19:33:03.441	code: Info	text: Connected by ('127.0.0.1', 3684) --> command: ping
date: 04/11/2018 19:33:03.441	code: Info	text: self.ping()
date: 04/11/2018 19:33:03.441	code: Info	text: 0
date: 04/11/2018 19:33:18.677	code: Info	text: Connected by ('127.0.0.1', 3704) --> command: ping
date: 04/11/2018 19:33:18.677	code: Info	text: self.ping()
date: 04/11/2018 19:33:18.677	code: Info	text: 0
date: 04/11/2018 19:33:34.694	code: Info	text: Connected by ('127.0.0.1', 3722) --> command: ping
date: 04/11/2018 19:33:34.694	code: Info	text: self.ping()
date: 04/11/2018 19:33:34.694	code: Info	text: 0
date: 04/11/2018 19:33:51.352	code: Info	text: Connected by ('127.0.0.1', 3742) --> command: ping
date: 04/11/2018 19:33:51.352	code: Info	text: self.ping()
date: 04/11/2018 19:33:51.352	code: Info	text: 0
date: 04/11/2018 19:34:36.612	code: Info	text: Connected by ('127.0.0.1', 3758) --> command: ping
date: 04/11/2018 19:34:36.612	code: Info	text: self.ping()
date: 04/11/2018 19:34:36.612	code: Info	text: 0
date: 04/11/2018 19:35:09.662	code: Info	text: Connected by ('127.0.0.1', 3767) --> command: ping
date: 04/11/2018 19:35:09.662	code: Info	text: self.ping()
date: 04/11/2018 19:35:09.662	code: Info	text: 0
date: 04/11/2018 19:35:25.257	code: Info	text: Connected by ('127.0.0.1', 3787) --> command: ping
date: 04/11/2018 19:35:25.257	code: Info	text: self.ping()
date: 04/11/2018 19:35:25.257	code: Info	text: 0
date: 04/11/2018 19:35:40.540	code: Info	text: Connected by ('127.0.0.1', 3805) --> command: ping
date: 04/11/2018 19:35:40.540	code: Info	text: self.ping()
date: 04/11/2018 19:35:40.540	code: Info	text: 0
date: 04/11/2018 19:35:56.041	code: Info	text: Connected by ('127.0.0.1', 3825) --> command: ping
date: 04/11/2018 19:35:56.041	code: Info	text: self.ping()
date: 04/11/2018 19:35:56.041	code: Info	text: 0
date: 04/11/2018 19:36:12.527	code: Info	text: Connected by ('127.0.0.1', 3842) --> command: ping
date: 04/11/2018 19:36:12.527	code: Info	text: self.ping()
date: 04/11/2018 19:36:12.527	code: Info	text: 0
date: 04/11/2018 19:36:29.060	code: Info	text: Connected by ('127.0.0.1', 3862) --> command: ping
date: 04/11/2018 19:36:29.060	code: Info	text: self.ping()
date: 04/11/2018 19:36:29.060	code: Info	text: 0
date: 04/11/2018 19:37:14.189	code: Info	text: Connected by ('127.0.0.1', 3877) --> command: ping
date: 04/11/2018 19:37:14.189	code: Info	text: self.ping()
date: 04/11/2018 19:37:14.189	code: Info	text: 0
date: 04/11/2018 19:37:30.097	code: Info	text: Connected by ('127.0.0.1', 3898) --> command: ping
date: 04/11/2018 19:37:30.097	code: Info	text: self.ping()
date: 04/11/2018 19:37:30.097	code: Info	text: 0
date: 04/11/2018 19:37:45.848	code: Info	text: Connected by ('127.0.0.1', 3916) --> command: ping
date: 04/11/2018 19:37:45.848	code: Info	text: self.ping()
date: 04/11/2018 19:37:45.848	code: Info	text: 0
date: 04/11/2018 19:38:01.756	code: Info	text: Connected by ('127.0.0.1', 3936) --> command: ping
date: 04/11/2018 19:38:01.756	code: Info	text: self.ping()
date: 04/11/2018 19:38:01.756	code: Info	text: 0
date: 04/11/2018 19:38:17.523	code: Info	text: Connected by ('127.0.0.1', 3953) --> command: ping
date: 04/11/2018 19:38:17.538	code: Info	text: self.ping()
date: 04/11/2018 19:38:17.538	code: Info	text: 0
date: 04/11/2018 19:38:34.212	code: Info	text: Connected by ('127.0.0.1', 3973) --> command: ping
date: 04/11/2018 19:38:34.212	code: Info	text: self.ping()
date: 04/11/2018 19:38:34.212	code: Info	text: 0
date: 04/11/2018 19:39:19.372	code: Info	text: Connected by ('127.0.0.1', 3990) --> command: ping
date: 04/11/2018 19:39:19.372	code: Info	text: self.ping()
date: 04/11/2018 19:39:19.372	code: Info	text: 0
date: 04/11/2018 19:39:55.938	code: Info	text: Connected by ('127.0.0.1', 4000) --> command: ping
date: 04/11/2018 19:39:55.938	code: Info	text: self.ping()
date: 04/11/2018 19:39:55.938	code: Info	text: 0
date: 04/11/2018 19:40:11.267	code: Info	text: Connected by ('127.0.0.1', 4020) --> command: ping
date: 04/11/2018 19:40:11.267	code: Info	text: self.ping()
date: 04/11/2018 19:40:11.267	code: Info	text: 0
date: 04/11/2018 19:40:27.144	code: Info	text: Connected by ('127.0.0.1', 4037) --> command: ping
date: 04/11/2018 19:40:27.144	code: Info	text: self.ping()
date: 04/11/2018 19:40:27.144	code: Info	text: 0
date: 04/11/2018 19:40:42.520	code: Info	text: Connected by ('127.0.0.1', 4058) --> command: ping
date: 04/11/2018 19:40:42.520	code: Info	text: self.ping()
date: 04/11/2018 19:40:42.520	code: Info	text: 0
date: 04/11/2018 19:40:58.475	code: Info	text: Connected by ('127.0.0.1', 4075) --> command: ping
date: 04/11/2018 19:40:58.475	code: Info	text: self.ping()
date: 04/11/2018 19:40:58.475	code: Info	text: 0
date: 04/11/2018 19:41:15.023	code: Info	text: Connected by ('127.0.0.1', 4095) --> command: ping
date: 04/11/2018 19:41:15.023	code: Info	text: self.ping()
date: 04/11/2018 19:41:15.023	code: Info	text: 0
date: 04/11/2018 19:42:00.230	code: Info	text: Connected by ('127.0.0.1', 4110) --> command: ping
date: 04/11/2018 19:42:00.230	code: Info	text: self.ping()
date: 04/11/2018 19:42:00.230	code: Info	text: 0
date: 04/11/2018 19:42:38.906	code: Info	text: Connected by ('127.0.0.1', 4119) --> command: ping
date: 04/11/2018 19:42:38.906	code: Info	text: self.ping()
date: 04/11/2018 19:42:38.906	code: Info	text: 0
date: 04/11/2018 19:42:53.985	code: Info	text: Connected by ('127.0.0.1', 4127) --> command: ping
date: 04/11/2018 19:42:53.985	code: Info	text: self.ping()
date: 04/11/2018 19:42:53.985	code: Info	text: 0
date: 04/11/2018 19:43:09.033	code: Info	text: Connected by ('127.0.0.1', 4132) --> command: ping
date: 04/11/2018 19:43:09.033	code: Info	text: self.ping()
date: 04/11/2018 19:43:09.033	code: Info	text: 0
date: 04/11/2018 19:43:24.066	code: Info	text: Connected by ('127.0.0.1', 4140) --> command: ping
date: 04/11/2018 19:43:24.066	code: Info	text: self.ping()
date: 04/11/2018 19:43:24.066	code: Info	text: 0
date: 04/11/2018 19:43:39.098	code: Info	text: Connected by ('127.0.0.1', 4147) --> command: ping
date: 04/11/2018 19:43:39.098	code: Info	text: self.ping()
date: 04/11/2018 19:43:39.098	code: Info	text: 0
date: 04/11/2018 19:44:11.664	code: Info	text: Connected by ('127.0.0.1', 4158) --> command: ping
date: 04/11/2018 19:44:11.664	code: Info	text: self.ping()
date: 04/11/2018 19:44:11.664	code: Info	text: 0
date: 04/11/2018 19:44:27.118	code: Info	text: Connected by ('127.0.0.1', 4178) --> command: ping
date: 04/11/2018 19:44:27.118	code: Info	text: self.ping()
date: 04/11/2018 19:44:27.118	code: Info	text: 0
date: 04/11/2018 19:44:42.940	code: Info	text: Connected by ('127.0.0.1', 4197) --> command: ping
date: 04/11/2018 19:44:42.940	code: Info	text: self.ping()
date: 04/11/2018 19:44:42.940	code: Info	text: 0
date: 04/11/2018 19:44:58.457	code: Info	text: Connected by ('127.0.0.1', 4218) --> command: ping
date: 04/11/2018 19:44:58.457	code: Info	text: self.ping()
date: 04/11/2018 19:44:58.457	code: Info	text: 0
date: 04/11/2018 19:45:14.146	code: Info	text: Connected by ('127.0.0.1', 4235) --> command: ping
date: 04/11/2018 19:45:14.146	code: Info	text: self.ping()
date: 04/11/2018 19:45:14.146	code: Info	text: 0
date: 04/11/2018 19:45:30.663	code: Info	text: Connected by ('127.0.0.1', 4255) --> command: ping
date: 04/11/2018 19:45:30.663	code: Info	text: self.ping()
date: 04/11/2018 19:45:30.663	code: Info	text: 0
date: 04/11/2018 19:46:15.807	code: Info	text: Connected by ('127.0.0.1', 4270) --> command: ping
date: 04/11/2018 19:46:15.807	code: Info	text: self.ping()
date: 04/11/2018 19:46:15.807	code: Info	text: 0
date: 04/11/2018 19:46:32.356	code: Info	text: Connected by ('127.0.0.1', 4291) --> command: ping
date: 04/11/2018 19:46:32.356	code: Info	text: self.ping()
date: 04/11/2018 19:46:32.356	code: Info	text: 0
date: 04/11/2018 19:46:48.248	code: Info	text: Connected by ('127.0.0.1', 4309) --> command: ping
date: 04/11/2018 19:46:48.248	code: Info	text: self.ping()
date: 04/11/2018 19:46:48.248	code: Info	text: 0
date: 04/11/2018 19:47:03.640	code: Info	text: Connected by ('127.0.0.1', 4329) --> command: ping
date: 04/11/2018 19:47:03.640	code: Info	text: self.ping()
date: 04/11/2018 19:47:03.640	code: Info	text: 0
date: 04/11/2018 19:47:19.672	code: Info	text: Connected by ('127.0.0.1', 4346) --> command: ping
date: 04/11/2018 19:47:19.672	code: Info	text: self.ping()
date: 04/11/2018 19:47:19.672	code: Info	text: 0
date: 04/11/2018 19:47:34.705	code: Info	text: Connected by ('127.0.0.1', 4365) --> command: ping
date: 04/11/2018 19:47:34.705	code: Info	text: self.ping()
date: 04/11/2018 19:47:34.705	code: Info	text: 0
date: 04/11/2018 19:48:19.943	code: Info	text: Connected by ('127.0.0.1', 4381) --> command: ping
date: 04/11/2018 19:48:19.943	code: Info	text: self.ping()
date: 04/11/2018 19:48:19.943	code: Info	text: 0
date: 04/11/2018 19:48:58.228	code: Info	text: Connected by ('127.0.0.1', 4391) --> command: ping
date: 04/11/2018 19:48:58.244	code: Info	text: self.ping()
date: 04/11/2018 19:48:58.244	code: Info	text: 0
date: 04/11/2018 19:49:13.745	code: Info	text: Connected by ('127.0.0.1', 4411) --> command: ping
date: 04/11/2018 19:49:13.745	code: Info	text: self.ping()
date: 04/11/2018 19:49:13.745	code: Info	text: 0
date: 04/11/2018 19:49:29.840	code: Info	text: Connected by ('127.0.0.1', 4428) --> command: ping
date: 04/11/2018 19:49:29.840	code: Info	text: self.ping()
date: 04/11/2018 19:49:29.840	code: Info	text: 0
date: 04/11/2018 19:49:45.045	code: Info	text: Connected by ('127.0.0.1', 4449) --> command: ping
date: 04/11/2018 19:49:45.045	code: Info	text: self.ping()
date: 04/11/2018 19:49:45.060	code: Info	text: 0
date: 04/11/2018 19:50:00.781	code: Info	text: Connected by ('127.0.0.1', 4466) --> command: ping
date: 04/11/2018 19:50:00.781	code: Info	text: self.ping()
date: 04/11/2018 19:50:00.781	code: Info	text: 0
date: 04/11/2018 19:50:17.470	code: Info	text: Connected by ('127.0.0.1', 4486) --> command: ping
date: 04/11/2018 19:50:17.470	code: Info	text: self.ping()
date: 04/11/2018 19:50:17.470	code: Info	text: 0
date: 04/11/2018 19:51:02.614	code: Info	text: Connected by ('127.0.0.1', 4501) --> command: ping
date: 04/11/2018 19:51:02.614	code: Info	text: self.ping()
date: 04/11/2018 19:51:02.614	code: Info	text: 0
date: 04/11/2018 19:51:35.477	code: Info	text: Connected by ('127.0.0.1', 4511) --> command: ping
date: 04/11/2018 19:51:35.477	code: Info	text: self.ping()
date: 04/11/2018 19:51:35.477	code: Info	text: 0
date: 04/11/2018 19:51:50.884	code: Info	text: Connected by ('127.0.0.1', 4531) --> command: ping
date: 04/11/2018 19:51:50.884	code: Info	text: self.ping()
date: 04/11/2018 19:51:50.884	code: Info	text: 0
date: 04/11/2018 19:52:07.042	code: Info	text: Connected by ('127.0.0.1', 4548) --> command: ping
date: 04/11/2018 19:52:07.042	code: Info	text: self.ping()
date: 04/11/2018 19:52:07.042	code: Info	text: 0
date: 04/11/2018 19:52:22.559	code: Info	text: Connected by ('127.0.0.1', 4568) --> command: ping
date: 04/11/2018 19:52:22.559	code: Info	text: self.ping()
date: 04/11/2018 19:52:22.559	code: Info	text: 0
date: 04/11/2018 19:52:38.107	code: Info	text: Connected by ('127.0.0.1', 4586) --> command: ping
date: 04/11/2018 19:52:38.107	code: Info	text: self.ping()
date: 04/11/2018 19:52:38.107	code: Info	text: 0
date: 04/11/2018 19:52:53.140	code: Info	text: Connected by ('127.0.0.1', 4604) --> command: ping
date: 04/11/2018 19:52:53.140	code: Info	text: self.ping()
date: 04/11/2018 19:52:53.140	code: Info	text: 0
date: 04/11/2018 19:53:23.861	code: Info	text: Connected by ('127.0.0.1', 4618) --> command: ping
date: 04/11/2018 19:53:23.861	code: Info	text: self.ping()
date: 04/11/2018 19:53:23.861	code: Info	text: 0
date: 04/11/2018 19:53:38.894	code: Info	text: Connected by ('127.0.0.1', 4624) --> command: ping
date: 04/11/2018 19:53:38.894	code: Info	text: self.ping()
date: 04/11/2018 19:53:38.894	code: Info	text: 0
date: 04/11/2018 19:53:53.958	code: Info	text: Connected by ('127.0.0.1', 4632) --> command: ping
date: 04/11/2018 19:53:53.958	code: Info	text: self.ping()
date: 04/11/2018 19:53:53.958	code: Info	text: 0
date: 04/11/2018 19:54:08.990	code: Info	text: Connected by ('127.0.0.1', 4637) --> command: ping
date: 04/11/2018 19:54:08.990	code: Info	text: self.ping()
date: 04/11/2018 19:54:08.990	code: Info	text: 0
date: 04/11/2018 19:54:24.023	code: Info	text: Connected by ('127.0.0.1', 4644) --> command: ping
date: 04/11/2018 19:54:24.023	code: Info	text: self.ping()
date: 04/11/2018 19:54:24.023	code: Info	text: 0
date: 04/11/2018 19:55:03.801	code: Info	text: Connected by ('127.0.0.1', 4663) --> command: ping
date: 04/11/2018 19:55:03.801	code: Info	text: self.ping()
date: 04/11/2018 19:55:03.801	code: Info	text: 0
date: 04/11/2018 19:55:19.193	code: Info	text: Connected by ('127.0.0.1', 4685) --> command: ping
date: 04/11/2018 19:55:19.193	code: Info	text: self.ping()
date: 04/11/2018 19:55:19.193	code: Info	text: 0
