
date: 15/10/2018 07:49:59.698	code: Info	text: Focus Server started at port 3340....
date: 15/10/2018 07:50:06.355	code: Info	text: Connected by ('127.0.0.1', 1183) --> command: ping
date: 15/10/2018 07:50:06.355	code: Info	text: self.ping()
date: 15/10/2018 07:50:06.355	code: Info	text: 0
date: 15/10/2018 07:50:22.452	code: Info	text: Connected by ('127.0.0.1', 1189) --> command: ping
date: 15/10/2018 07:50:22.452	code: Info	text: self.ping()
date: 15/10/2018 07:50:22.452	code: Info	text: 0
date: 15/10/2018 07:50:38.705	code: Info	text: Connected by ('127.0.0.1', 1195) --> command: ping
date: 15/10/2018 07:50:38.705	code: Info	text: self.ping()
date: 15/10/2018 07:50:38.705	code: Info	text: 0
date: 15/10/2018 07:50:54.692	code: Info	text: Connected by ('127.0.0.1', 1202) --> command: ping
date: 15/10/2018 07:50:54.692	code: Info	text: self.ping()
date: 15/10/2018 07:50:54.692	code: Info	text: 0
date: 15/10/2018 07:51:09.726	code: Info	text: Connected by ('127.0.0.1', 1213) --> command: ping
date: 15/10/2018 07:51:09.726	code: Info	text: self.ping()
date: 15/10/2018 07:51:09.726	code: Info	text: 0
date: 15/10/2018 07:51:54.765	code: Info	text: Connected by ('127.0.0.1', 1226) --> command: ping
date: 15/10/2018 07:51:54.765	code: Info	text: self.ping()
date: 15/10/2018 07:51:54.765	code: Info	text: 0
date: 15/10/2018 07:52:53.526	code: Info	text: Connected by ('127.0.0.1', 1239) --> command: ping
date: 15/10/2018 07:52:53.526	code: Info	text: self.ping()
date: 15/10/2018 07:52:53.526	code: Info	text: 0
date: 15/10/2018 07:53:09.639	code: Info	text: Connected by ('127.0.0.1', 1248) --> command: ping
date: 15/10/2018 07:53:09.639	code: Info	text: self.ping()
date: 15/10/2018 07:53:09.639	code: Info	text: 0
date: 15/10/2018 07:53:49.395	code: Info	text: Connected by ('127.0.0.1', 1257) --> command: ping
date: 15/10/2018 07:53:49.395	code: Info	text: self.ping()
date: 15/10/2018 07:53:49.395	code: Info	text: 0
date: 15/10/2018 07:54:03.117	code: Info	text: Connected by ('127.0.0.1', 1269) --> command: rwd_time:1
date: 15/10/2018 07:54:03.117	code: Info	text: self.rwd_time(1)
date: 15/10/2018 07:54:03.507	code: Info	text: OK
date: 15/10/2018 07:54:03.523	code: Info	text: Connected by ('127.0.0.1', 1270) --> command: get_pos
date: 15/10/2018 07:54:03.523	code: Info	text: self.get_pos()
date: 15/10/2018 07:54:03.523	code: Info	text: 0.113998413
date: 15/10/2018 07:54:05.461	code: Info	text: Connected by ('127.0.0.1', 1275) --> command: ping
date: 15/10/2018 07:54:05.476	code: Info	text: self.ping()
date: 15/10/2018 07:54:05.476	code: Info	text: 0.113998413
date: 15/10/2018 07:54:20.510	code: Info	text: Connected by ('127.0.0.1', 1287) --> command: ping
date: 15/10/2018 07:54:20.510	code: Info	text: self.ping()
date: 15/10/2018 07:54:20.510	code: Info	text: 0.113998413
date: 15/10/2018 07:54:35.544	code: Info	text: Connected by ('127.0.0.1', 1292) --> command: ping
date: 15/10/2018 07:54:35.560	code: Info	text: self.ping()
date: 15/10/2018 07:54:35.560	code: Info	text: 0.113998413
date: 15/10/2018 07:54:51.250	code: Info	text: Connected by ('127.0.0.1', 1299) --> command: ping
date: 15/10/2018 07:54:51.250	code: Info	text: self.ping()
date: 15/10/2018 07:54:51.250	code: Info	text: 0.113998413
date: 15/10/2018 07:55:06.456	code: Info	text: Connected by ('127.0.0.1', 1320) --> command: ping
date: 15/10/2018 07:55:06.456	code: Info	text: self.ping()
date: 15/10/2018 07:55:06.456	code: Info	text: 0.113998413
date: 15/10/2018 07:55:21.489	code: Info	text: Connected by ('127.0.0.1', 1329) --> command: ping
date: 15/10/2018 07:55:21.489	code: Info	text: self.ping()
date: 15/10/2018 07:55:21.505	code: Info	text: 0.113998413
date: 15/10/2018 07:55:36.523	code: Info	text: Connected by ('127.0.0.1', 1337) --> command: ping
date: 15/10/2018 07:55:36.523	code: Info	text: self.ping()
date: 15/10/2018 07:55:36.539	code: Info	text: 0.113998413
date: 15/10/2018 07:55:52.214	code: Info	text: Connected by ('127.0.0.1', 1344) --> command: ping
date: 15/10/2018 07:55:52.214	code: Info	text: self.ping()
date: 15/10/2018 07:55:52.214	code: Info	text: 0.113998413
date: 15/10/2018 07:56:07.888	code: Info	text: Connected by ('127.0.0.1', 1361) --> command: ping
date: 15/10/2018 07:56:07.888	code: Info	text: self.ping()
date: 15/10/2018 07:56:07.888	code: Info	text: 0.113998413
date: 15/10/2018 07:56:22.938	code: Info	text: Connected by ('127.0.0.1', 1366) --> command: ping
date: 15/10/2018 07:56:22.938	code: Info	text: self.ping()
date: 15/10/2018 07:56:22.938	code: Info	text: 0.113998413
date: 15/10/2018 07:56:37.987	code: Info	text: Connected by ('127.0.0.1', 1371) --> command: ping
date: 15/10/2018 07:56:37.987	code: Info	text: self.ping()
date: 15/10/2018 07:56:37.987	code: Info	text: 0.113998413
date: 15/10/2018 07:56:54.068	code: Info	text: Connected by ('127.0.0.1', 1378) --> command: ping
date: 15/10/2018 07:56:54.068	code: Info	text: self.ping()
date: 15/10/2018 07:56:54.068	code: Info	text: 0.113998413
date: 15/10/2018 07:57:03.398	code: Info	text: Connected by ('127.0.0.1', 1389) --> command: rwd_time:1
date: 15/10/2018 07:57:03.398	code: Info	text: self.rwd_time(1)
date: 15/10/2018 07:57:03.757	code: Info	text: OK
date: 15/10/2018 07:57:03.773	code: Info	text: Connected by ('127.0.0.1', 1390) --> command: get_pos
date: 15/10/2018 07:57:03.773	code: Info	text: self.get_pos()
date: 15/10/2018 07:57:03.773	code: Info	text: 0.113800049
date: 15/10/2018 07:57:09.274	code: Info	text: Connected by ('127.0.0.1', 1399) --> command: ping
date: 15/10/2018 07:57:09.274	code: Info	text: self.ping()
date: 15/10/2018 07:57:09.274	code: Info	text: 0.113800049
date: 15/10/2018 07:57:24.323	code: Info	text: Connected by ('127.0.0.1', 1407) --> command: ping
date: 15/10/2018 07:57:24.323	code: Info	text: self.ping()
date: 15/10/2018 07:57:24.323	code: Info	text: 0.113800049
date: 15/10/2018 07:57:39.357	code: Info	text: Connected by ('127.0.0.1', 1412) --> command: ping
date: 15/10/2018 07:57:39.357	code: Info	text: self.ping()
date: 15/10/2018 07:57:39.357	code: Info	text: 0.113800049
date: 15/10/2018 07:57:55.329	code: Info	text: Connected by ('127.0.0.1', 1419) --> command: ping
date: 15/10/2018 07:57:55.329	code: Info	text: self.ping()
date: 15/10/2018 07:57:55.329	code: Info	text: 0.113800049
date: 15/10/2018 07:58:06.440	code: Info	text: Connected by ('127.0.0.1', 1430) --> command: fwd_time:1
date: 15/10/2018 07:58:06.440	code: Info	text: self.fwd_time(1)
date: 15/10/2018 07:58:06.893	code: Info	text: OK
date: 15/10/2018 07:58:06.909	code: Info	text: Connected by ('127.0.0.1', 1431) --> command: get_pos
date: 15/10/2018 07:58:06.909	code: Info	text: self.get_pos()
date: 15/10/2018 07:58:06.909	code: Info	text: 0.113998413
date: 15/10/2018 07:58:10.550	code: Info	text: Connected by ('127.0.0.1', 1438) --> command: ping
date: 15/10/2018 07:58:10.550	code: Info	text: self.ping()
date: 15/10/2018 07:58:10.550	code: Info	text: 0.113998413
date: 15/10/2018 07:58:13.519	code: Info	text: Connected by ('127.0.0.1', 1442) --> command: fwd_time:1
date: 15/10/2018 07:58:13.519	code: Info	text: self.fwd_time(1)
date: 15/10/2018 07:58:13.879	code: Info	text: OK
date: 15/10/2018 07:58:13.879	code: Info	text: Connected by ('127.0.0.1', 1443) --> command: get_pos
date: 15/10/2018 07:58:13.879	code: Info	text: self.get_pos()
date: 15/10/2018 07:58:13.894	code: Info	text: 0.114212036
date: 15/10/2018 07:58:20.270	code: Info	text: Connected by ('127.0.0.1', 1449) --> command: fwd_time:1
date: 15/10/2018 07:58:20.270	code: Info	text: self.fwd_time(1)
date: 15/10/2018 07:58:20.614	code: Info	text: OK
date: 15/10/2018 07:58:20.614	code: Info	text: Connected by ('127.0.0.1', 1450) --> command: get_pos
date: 15/10/2018 07:58:20.614	code: Info	text: self.get_pos()
date: 15/10/2018 07:58:20.630	code: Info	text: 0.114410400
date: 15/10/2018 07:58:25.584	code: Info	text: Connected by ('127.0.0.1', 1458) --> command: ping
date: 15/10/2018 07:58:25.584	code: Info	text: self.ping()
date: 15/10/2018 07:58:25.584	code: Info	text: 0.114410400
date: 15/10/2018 07:58:40.618	code: Info	text: Connected by ('127.0.0.1', 1467) --> command: ping
date: 15/10/2018 07:58:40.618	code: Info	text: self.ping()
date: 15/10/2018 07:58:40.618	code: Info	text: 0.114410400
date: 15/10/2018 07:58:55.651	code: Info	text: Connected by ('127.0.0.1', 1472) --> command: ping
date: 15/10/2018 07:58:55.651	code: Info	text: self.ping()
date: 15/10/2018 07:58:55.667	code: Info	text: 0.114410400
date: 15/10/2018 07:59:11.748	code: Info	text: Connected by ('127.0.0.1', 1480) --> command: ping
date: 15/10/2018 07:59:11.748	code: Info	text: self.ping()
date: 15/10/2018 07:59:11.748	code: Info	text: 0.114410400
date: 15/10/2018 07:59:27.063	code: Info	text: Connected by ('127.0.0.1', 1496) --> command: ping
date: 15/10/2018 07:59:27.063	code: Info	text: self.ping()
date: 15/10/2018 07:59:27.063	code: Info	text: 0.114410400
