
date: 21/09/2018 07:35:34.158	code: Info	text: Focus Server started at port 3340....
date: 21/09/2018 07:35:41.440	code: Info	text: Connected by ('127.0.0.1', 2562) --> command: ping
date: 21/09/2018 07:35:41.440	code: Info	text: self.ping()
date: 21/09/2018 07:35:41.440	code: Info	text: 0
date: 21/09/2018 07:35:58.254	code: Info	text: Connected by ('127.0.0.1', 2567) --> command: ping
date: 21/09/2018 07:35:58.254	code: Info	text: self.ping()
date: 21/09/2018 07:35:58.254	code: Info	text: 0
date: 21/09/2018 07:36:14.444	code: Info	text: Connected by ('127.0.0.1', 2572) --> command: ping
date: 21/09/2018 07:36:14.444	code: Info	text: self.ping()
date: 21/09/2018 07:36:14.444	code: Info	text: 0
date: 21/09/2018 07:36:29.508	code: Info	text: Connected by ('127.0.0.1', 2577) --> command: ping
date: 21/09/2018 07:36:29.508	code: Info	text: self.ping()
date: 21/09/2018 07:36:29.508	code: Info	text: 0
date: 21/09/2018 07:36:45.838	code: Info	text: Connected by ('127.0.0.1', 2587) --> command: ping
date: 21/09/2018 07:36:45.838	code: Info	text: self.ping()
date: 21/09/2018 07:36:45.838	code: Info	text: 0
date: 21/09/2018 07:37:30.875	code: Info	text: Connected by ('127.0.0.1', 2599) --> command: ping
date: 21/09/2018 07:37:30.875	code: Info	text: self.ping()
date: 21/09/2018 07:37:30.875	code: Info	text: 0
date: 21/09/2018 07:38:29.835	code: Info	text: Connected by ('127.0.0.1', 2610) --> command: ping
date: 21/09/2018 07:38:29.835	code: Info	text: self.ping()
date: 21/09/2018 07:38:29.835	code: Info	text: 0
date: 21/09/2018 07:38:44.868	code: Info	text: Connected by ('127.0.0.1', 2616) --> command: ping
date: 21/09/2018 07:38:44.868	code: Info	text: self.ping()
date: 21/09/2018 07:38:44.868	code: Info	text: 0
date: 21/09/2018 07:39:29.887	code: Info	text: Connected by ('127.0.0.1', 2630) --> command: ping
date: 21/09/2018 07:39:29.887	code: Info	text: self.ping()
date: 21/09/2018 07:39:29.887	code: Info	text: 0
date: 21/09/2018 07:39:59.516	code: Info	text: Connected by ('127.0.0.1', 2638) --> command: ping
date: 21/09/2018 07:39:59.516	code: Info	text: self.ping()
date: 21/09/2018 07:39:59.516	code: Info	text: 0
date: 21/09/2018 07:40:15.002	code: Info	text: Connected by ('127.0.0.1', 2652) --> command: ping
date: 21/09/2018 07:40:15.002	code: Info	text: self.ping()
date: 21/09/2018 07:40:15.002	code: Info	text: 0
date: 21/09/2018 07:40:30.129	code: Info	text: Connected by ('127.0.0.1', 2666) --> command: ping
date: 21/09/2018 07:40:30.129	code: Info	text: self.ping()
date: 21/09/2018 07:40:30.129	code: Info	text: 0
date: 21/09/2018 07:40:46.084	code: Info	text: Connected by ('127.0.0.1', 2682) --> command: ping
date: 21/09/2018 07:40:46.084	code: Info	text: self.ping()
date: 21/09/2018 07:40:46.084	code: Info	text: 0
date: 21/09/2018 07:41:01.320	code: Info	text: Connected by ('127.0.0.1', 2697) --> command: ping
date: 21/09/2018 07:41:01.320	code: Info	text: self.ping()
date: 21/09/2018 07:41:01.320	code: Info	text: 0
date: 21/09/2018 07:41:16.354	code: Info	text: Connected by ('127.0.0.1', 2711) --> command: ping
date: 21/09/2018 07:41:16.354	code: Info	text: self.ping()
date: 21/09/2018 07:41:16.354	code: Info	text: 0
date: 21/09/2018 07:42:01.531	code: Info	text: Connected by ('127.0.0.1', 2720) --> command: ping
date: 21/09/2018 07:42:01.531	code: Info	text: self.ping()
date: 21/09/2018 07:42:01.531	code: Info	text: 0
date: 21/09/2018 07:42:25.143	code: Info	text: Connected by ('127.0.0.1', 2726) --> command: ping
date: 21/09/2018 07:42:25.143	code: Info	text: self.ping()
date: 21/09/2018 07:42:25.143	code: Info	text: 0
date: 21/09/2018 07:42:40.176	code: Info	text: Connected by ('127.0.0.1', 2742) --> command: ping
date: 21/09/2018 07:42:40.176	code: Info	text: self.ping()
date: 21/09/2018 07:42:40.176	code: Info	text: 0
date: 21/09/2018 07:42:55.569	code: Info	text: Connected by ('127.0.0.1', 2757) --> command: ping
date: 21/09/2018 07:42:55.569	code: Info	text: self.ping()
date: 21/09/2018 07:42:55.569	code: Info	text: 0
date: 21/09/2018 07:43:11.696	code: Info	text: Connected by ('127.0.0.1', 2772) --> command: ping
date: 21/09/2018 07:43:11.696	code: Info	text: self.ping()
date: 21/09/2018 07:43:11.696	code: Info	text: 0
date: 21/09/2018 07:43:27.995	code: Info	text: Connected by ('127.0.0.1', 2785) --> command: ping
date: 21/09/2018 07:43:27.995	code: Info	text: self.ping()
date: 21/09/2018 07:43:27.995	code: Info	text: 0
date: 21/09/2018 07:43:43.215	code: Info	text: Connected by ('127.0.0.1', 2801) --> command: ping
date: 21/09/2018 07:43:43.215	code: Info	text: self.ping()
date: 21/09/2018 07:43:43.231	code: Info	text: 0
date: 21/09/2018 07:43:58.248	code: Info	text: Connected by ('127.0.0.1', 2808) --> command: ping
date: 21/09/2018 07:43:58.248	code: Info	text: self.ping()
date: 21/09/2018 07:43:58.248	code: Info	text: 0
date: 21/09/2018 07:44:13.281	code: Info	text: Connected by ('127.0.0.1', 2813) --> command: ping
date: 21/09/2018 07:44:13.281	code: Info	text: self.ping()
date: 21/09/2018 07:44:13.281	code: Info	text: 0
date: 21/09/2018 07:44:28.314	code: Info	text: Connected by ('127.0.0.1', 2818) --> command: ping
date: 21/09/2018 07:44:28.314	code: Info	text: self.ping()
date: 21/09/2018 07:44:28.314	code: Info	text: 0
date: 21/09/2018 07:44:43.347	code: Info	text: Connected by ('127.0.0.1', 2824) --> command: ping
date: 21/09/2018 07:44:43.347	code: Info	text: self.ping()
date: 21/09/2018 07:44:43.347	code: Info	text: 0
date: 21/09/2018 07:44:58.381	code: Info	text: Connected by ('127.0.0.1', 2829) --> command: ping
date: 21/09/2018 07:44:58.381	code: Info	text: self.ping()
date: 21/09/2018 07:44:58.381	code: Info	text: 0
date: 21/09/2018 07:45:13.414	code: Info	text: Connected by ('127.0.0.1', 2834) --> command: ping
date: 21/09/2018 07:45:13.414	code: Info	text: self.ping()
date: 21/09/2018 07:45:13.429	code: Info	text: 0
date: 21/09/2018 07:45:28.447	code: Info	text: Connected by ('127.0.0.1', 2839) --> command: ping
date: 21/09/2018 07:45:28.462	code: Info	text: self.ping()
date: 21/09/2018 07:45:28.462	code: Info	text: 0
