
date: 18/09/2018 07:25:42.435	code: Info	text: Focus Server started at port 3340....
date: 18/09/2018 07:25:51.436	code: Info	text: Connected by ('127.0.0.1', 4126) --> command: ping
date: 18/09/2018 07:25:51.436	code: Info	text: self.ping()
date: 18/09/2018 07:25:51.436	code: Info	text: 0
date: 18/09/2018 07:26:07.969	code: Info	text: Connected by ('127.0.0.1', 4131) --> command: ping
date: 18/09/2018 07:26:07.969	code: Info	text: self.ping()
date: 18/09/2018 07:26:07.969	code: Info	text: 0
date: 18/09/2018 07:26:24.018	code: Info	text: Connected by ('127.0.0.1', 4136) --> command: ping
date: 18/09/2018 07:26:24.018	code: Info	text: self.ping()
date: 18/09/2018 07:26:24.018	code: Info	text: 0
date: 18/09/2018 07:26:39.051	code: Info	text: Connected by ('127.0.0.1', 4141) --> command: ping
date: 18/09/2018 07:26:39.051	code: Info	text: self.ping()
date: 18/09/2018 07:26:39.051	code: Info	text: 0
date: 18/09/2018 07:26:54.084	code: Info	text: Connected by ('127.0.0.1', 4147) --> command: ping
date: 18/09/2018 07:26:54.084	code: Info	text: self.ping()
date: 18/09/2018 07:26:54.100	code: Info	text: 0
date: 18/09/2018 07:27:10.508	code: Info	text: Connected by ('127.0.0.1', 4156) --> command: ping
date: 18/09/2018 07:27:10.508	code: Info	text: self.ping()
date: 18/09/2018 07:27:10.508	code: Info	text: 0
date: 18/09/2018 07:27:55.545	code: Info	text: Connected by ('127.0.0.1', 4170) --> command: ping
date: 18/09/2018 07:27:55.545	code: Info	text: self.ping()
date: 18/09/2018 07:27:55.545	code: Info	text: 0
date: 18/09/2018 07:28:40.582	code: Info	text: Connected by ('127.0.0.1', 4181) --> command: ping
date: 18/09/2018 07:28:40.582	code: Info	text: self.ping()
date: 18/09/2018 07:28:40.582	code: Info	text: 0
date: 18/09/2018 07:29:39.651	code: Info	text: Connected by ('127.0.0.1', 4192) --> command: ping
date: 18/09/2018 07:29:39.651	code: Info	text: self.ping()
date: 18/09/2018 07:29:39.651	code: Info	text: 0
date: 18/09/2018 07:29:55.341	code: Info	text: Connected by ('127.0.0.1', 4199) --> command: ping
date: 18/09/2018 07:29:55.341	code: Info	text: self.ping()
date: 18/09/2018 07:29:55.341	code: Info	text: 0
date: 18/09/2018 07:30:37.440	code: Info	text: Connected by ('127.0.0.1', 4219) --> command: ping
date: 18/09/2018 07:30:37.440	code: Info	text: self.ping()
date: 18/09/2018 07:30:37.440	code: Info	text: 0
date: 18/09/2018 07:30:52.473	code: Info	text: Connected by ('127.0.0.1', 4234) --> command: ping
date: 18/09/2018 07:30:52.473	code: Info	text: self.ping()
date: 18/09/2018 07:30:52.473	code: Info	text: 0
date: 18/09/2018 07:30:52.988	code: Info	text: Connected by ('127.0.0.1', 4236) --> command: fwd_time:1
date: 18/09/2018 07:30:52.988	code: Info	text: self.fwd_time(1)
date: 18/09/2018 07:30:53.535	code: Info	text: OK
date: 18/09/2018 07:30:53.551	code: Info	text: Connected by ('127.0.0.1', 4237) --> command: get_pos
date: 18/09/2018 07:30:53.551	code: Info	text: self.get_pos()
date: 18/09/2018 07:30:53.551	code: Info	text: 0.113662720
date: 18/09/2018 07:31:00.005	code: Info	text: Connected by ('127.0.0.1', 4243) --> command: fwd_time:1
date: 18/09/2018 07:31:00.005	code: Info	text: self.fwd_time(1)
date: 18/09/2018 07:31:00.364	code: Info	text: OK
date: 18/09/2018 07:31:00.380	code: Info	text: Connected by ('127.0.0.1', 4244) --> command: get_pos
date: 18/09/2018 07:31:00.380	code: Info	text: self.get_pos()
date: 18/09/2018 07:31:00.380	code: Info	text: 0.113845825
date: 18/09/2018 07:31:06.865	code: Info	text: Connected by ('127.0.0.1', 4250) --> command: fwd_time:1
date: 18/09/2018 07:31:06.865	code: Info	text: self.fwd_time(1)
date: 18/09/2018 07:31:07.224	code: Info	text: OK
date: 18/09/2018 07:31:07.240	code: Info	text: Connected by ('127.0.0.1', 4251) --> command: get_pos
date: 18/09/2018 07:31:07.240	code: Info	text: self.get_pos()
date: 18/09/2018 07:31:07.256	code: Info	text: 0.114044189
date: 18/09/2018 07:31:08.662	code: Info	text: Connected by ('127.0.0.1', 4256) --> command: ping
date: 18/09/2018 07:31:08.662	code: Info	text: self.ping()
date: 18/09/2018 07:31:08.662	code: Info	text: 0.114044189
date: 18/09/2018 07:31:13.303	code: Info	text: Connected by ('127.0.0.1', 4262) --> command: fwd_time:1
date: 18/09/2018 07:31:13.303	code: Info	text: self.fwd_time(1)
date: 18/09/2018 07:31:13.647	code: Info	text: OK
date: 18/09/2018 07:31:13.663	code: Info	text: Connected by ('127.0.0.1', 4263) --> command: get_pos
date: 18/09/2018 07:31:13.663	code: Info	text: self.get_pos()
date: 18/09/2018 07:31:13.663	code: Info	text: 0.114242554
date: 18/09/2018 07:31:20.085	code: Info	text: Connected by ('127.0.0.1', 4269) --> command: fwd_time:1
date: 18/09/2018 07:31:20.085	code: Info	text: self.fwd_time(1)
date: 18/09/2018 07:31:20.445	code: Info	text: OK
date: 18/09/2018 07:31:20.460	code: Info	text: Connected by ('127.0.0.1', 4270) --> command: get_pos
date: 18/09/2018 07:31:20.460	code: Info	text: self.get_pos()
date: 18/09/2018 07:31:20.460	code: Info	text: 0.114425659
date: 18/09/2018 07:31:23.961	code: Info	text: Connected by ('127.0.0.1', 4277) --> command: ping
date: 18/09/2018 07:31:23.961	code: Info	text: self.ping()
date: 18/09/2018 07:31:23.961	code: Info	text: 0.114425659
date: 18/09/2018 07:31:26.946	code: Info	text: Connected by ('127.0.0.1', 4281) --> command: fwd_time:1
date: 18/09/2018 07:31:26.946	code: Info	text: self.fwd_time(1)
date: 18/09/2018 07:31:27.289	code: Info	text: OK
date: 18/09/2018 07:31:27.305	code: Info	text: Connected by ('127.0.0.1', 4282) --> command: get_pos
date: 18/09/2018 07:31:27.305	code: Info	text: self.get_pos()
date: 18/09/2018 07:31:27.305	code: Info	text: 0.114624023
date: 18/09/2018 07:31:33.821	code: Info	text: Connected by ('127.0.0.1', 4289) --> command: fwd_time:1
date: 18/09/2018 07:31:33.821	code: Info	text: self.fwd_time(1)
date: 18/09/2018 07:31:34.165	code: Info	text: OK
date: 18/09/2018 07:31:34.165	code: Info	text: Connected by ('127.0.0.1', 4290) --> command: get_pos
date: 18/09/2018 07:31:34.165	code: Info	text: self.get_pos()
date: 18/09/2018 07:31:34.181	code: Info	text: 0.114822388
date: 18/09/2018 07:31:38.994	code: Info	text: Connected by ('127.0.0.1', 4298) --> command: ping
date: 18/09/2018 07:31:38.994	code: Info	text: self.ping()
date: 18/09/2018 07:31:39.010	code: Info	text: 0.114822388
date: 18/09/2018 07:31:40.572	code: Info	text: Connected by ('127.0.0.1', 4301) --> command: fwd_time:1
date: 18/09/2018 07:31:40.572	code: Info	text: self.fwd_time(1)
date: 18/09/2018 07:31:40.932	code: Info	text: OK
date: 18/09/2018 07:31:40.932	code: Info	text: Connected by ('127.0.0.1', 4302) --> command: get_pos
date: 18/09/2018 07:31:40.932	code: Info	text: self.get_pos()
date: 18/09/2018 07:31:40.947	code: Info	text: 0.115020752
date: 18/09/2018 07:31:47.339	code: Info	text: Connected by ('127.0.0.1', 4309) --> command: fwd_time:1
date: 18/09/2018 07:31:47.339	code: Info	text: self.fwd_time(1)
date: 18/09/2018 07:31:47.698	code: Info	text: OK
date: 18/09/2018 07:31:47.698	code: Info	text: Connected by ('127.0.0.1', 4310) --> command: get_pos
date: 18/09/2018 07:31:47.698	code: Info	text: self.get_pos()
date: 18/09/2018 07:31:47.714	code: Info	text: 0.115219116
date: 18/09/2018 07:31:54.043	code: Info	text: Connected by ('127.0.0.1', 4316) --> command: ping
date: 18/09/2018 07:31:54.043	code: Info	text: self.ping()
date: 18/09/2018 07:31:54.043	code: Info	text: 0.115219116
date: 18/09/2018 07:32:09.076	code: Info	text: Connected by ('127.0.0.1', 4321) --> command: ping
date: 18/09/2018 07:32:09.076	code: Info	text: self.ping()
date: 18/09/2018 07:32:09.076	code: Info	text: 0.115219116
date: 18/09/2018 07:32:24.109	code: Info	text: Connected by ('127.0.0.1', 4326) --> command: ping
date: 18/09/2018 07:32:24.109	code: Info	text: self.ping()
date: 18/09/2018 07:32:24.109	code: Info	text: 0.115219116
date: 18/09/2018 07:32:39.142	code: Info	text: Connected by ('127.0.0.1', 4331) --> command: ping
date: 18/09/2018 07:32:39.142	code: Info	text: self.ping()
date: 18/09/2018 07:32:39.142	code: Info	text: 0.115219116
date: 18/09/2018 07:32:54.175	code: Info	text: Connected by ('127.0.0.1', 4337) --> command: ping
date: 18/09/2018 07:32:54.175	code: Info	text: self.ping()
date: 18/09/2018 07:32:54.175	code: Info	text: 0.115219116
date: 18/09/2018 07:33:09.208	code: Info	text: Connected by ('127.0.0.1', 4342) --> command: ping
date: 18/09/2018 07:33:09.208	code: Info	text: self.ping()
date: 18/09/2018 07:33:09.208	code: Info	text: 0.115219116
date: 18/09/2018 07:33:24.241	code: Info	text: Connected by ('127.0.0.1', 4347) --> command: ping
date: 18/09/2018 07:33:24.241	code: Info	text: self.ping()
date: 18/09/2018 07:33:24.241	code: Info	text: 0.115219116
date: 18/09/2018 07:33:39.274	code: Info	text: Connected by ('127.0.0.1', 4352) --> command: ping
date: 18/09/2018 07:33:39.274	code: Info	text: self.ping()
date: 18/09/2018 07:33:39.274	code: Info	text: 0.115219116
date: 18/09/2018 07:33:54.354	code: Info	text: Connected by ('127.0.0.1', 4358) --> command: ping
date: 18/09/2018 07:33:54.354	code: Info	text: self.ping()
