
date: 04/10/2018 07:48:29.226	code: Info	text: Focus Server started at port 3340....
date: 04/10/2018 07:48:30.273	code: Info	text: Connected by ('127.0.0.1', 2687) --> command: ping
date: 04/10/2018 07:48:30.273	code: Info	text: self.ping()
date: 04/10/2018 07:48:30.273	code: Info	text: 0
date: 04/10/2018 07:48:47.041	code: Info	text: Connected by ('127.0.0.1', 2693) --> command: ping
date: 04/10/2018 07:48:47.041	code: Info	text: self.ping()
date: 04/10/2018 07:48:47.041	code: Info	text: 0
date: 04/10/2018 07:49:03.246	code: Info	text: Connected by ('127.0.0.1', 2699) --> command: ping
date: 04/10/2018 07:49:03.246	code: Info	text: self.ping()
date: 04/10/2018 07:49:03.246	code: Info	text: 0
date: 04/10/2018 07:49:18.279	code: Info	text: Connected by ('127.0.0.1', 2710) --> command: ping
date: 04/10/2018 07:49:18.279	code: Info	text: self.ping()
date: 04/10/2018 07:49:18.279	code: Info	text: 0
date: 04/10/2018 07:50:03.316	code: Info	text: Connected by ('127.0.0.1', 2723) --> command: ping
date: 04/10/2018 07:50:03.332	code: Info	text: self.ping()
date: 04/10/2018 07:50:03.332	code: Info	text: 0
date: 04/10/2018 07:50:48.353	code: Info	text: Connected by ('127.0.0.1', 2736) --> command: ping
date: 04/10/2018 07:50:48.353	code: Info	text: self.ping()
date: 04/10/2018 07:50:48.368	code: Info	text: 0
date: 04/10/2018 07:51:04.370	code: Info	text: Connected by ('127.0.0.1', 2744) --> command: ping
date: 04/10/2018 07:51:04.370	code: Info	text: self.ping()
date: 04/10/2018 07:51:04.370	code: Info	text: 0
date: 04/10/2018 07:51:42.031	code: Info	text: Connected by ('127.0.0.1', 2756) --> command: ping
date: 04/10/2018 07:51:42.031	code: Info	text: self.ping()
date: 04/10/2018 07:51:42.031	code: Info	text: 0
date: 04/10/2018 07:51:57.720	code: Info	text: Connected by ('127.0.0.1', 2764) --> command: ping
date: 04/10/2018 07:51:57.720	code: Info	text: self.ping()
date: 04/10/2018 07:51:57.720	code: Info	text: 0
date: 04/10/2018 07:52:35.459	code: Info	text: Connected by ('127.0.0.1', 2775) --> command: ping
date: 04/10/2018 07:52:35.475	code: Info	text: self.ping()
date: 04/10/2018 07:52:35.475	code: Info	text: 0
date: 04/10/2018 07:53:11.011	code: Info	text: Connected by ('127.0.0.1', 2781) --> command: ping
date: 04/10/2018 07:53:11.011	code: Info	text: self.ping()
date: 04/10/2018 07:53:11.011	code: Info	text: 0
date: 04/10/2018 07:53:26.481	code: Info	text: Connected by ('127.0.0.1', 2798) --> command: ping
date: 04/10/2018 07:53:26.481	code: Info	text: self.ping()
date: 04/10/2018 07:53:26.481	code: Info	text: 0
date: 04/10/2018 07:53:41.514	code: Info	text: Connected by ('127.0.0.1', 2817) --> command: ping
date: 04/10/2018 07:53:41.514	code: Info	text: self.ping()
date: 04/10/2018 07:53:41.514	code: Info	text: 0
date: 04/10/2018 07:53:56.922	code: Info	text: Connected by ('127.0.0.1', 2836) --> command: ping
date: 04/10/2018 07:53:56.922	code: Info	text: self.ping()
date: 04/10/2018 07:53:56.922	code: Info	text: 0
date: 04/10/2018 07:54:12.612	code: Info	text: Connected by ('127.0.0.1', 2855) --> command: ping
date: 04/10/2018 07:54:12.612	code: Info	text: self.ping()
date: 04/10/2018 07:54:12.612	code: Info	text: 0
date: 04/10/2018 07:54:27.645	code: Info	text: Connected by ('127.0.0.1', 2871) --> command: ping
date: 04/10/2018 07:54:27.645	code: Info	text: self.ping()
date: 04/10/2018 07:54:27.645	code: Info	text: 0
date: 04/10/2018 07:54:42.584	code: Info	text: Connected by ('127.0.0.1', 2880) --> command: ping
date: 04/10/2018 07:54:42.584	code: Info	text: self.ping()
date: 04/10/2018 07:54:42.584	code: Info	text: 0
date: 04/10/2018 07:54:57.617	code: Info	text: Connected by ('127.0.0.1', 2886) --> command: ping
date: 04/10/2018 07:54:57.617	code: Info	text: self.ping()
date: 04/10/2018 07:54:57.617	code: Info	text: 0
date: 04/10/2018 07:55:12.650	code: Info	text: Connected by ('127.0.0.1', 2899) --> command: ping
date: 04/10/2018 07:55:12.650	code: Info	text: self.ping()
date: 04/10/2018 07:55:12.650	code: Info	text: 0
date: 04/10/2018 07:55:27.683	code: Info	text: Connected by ('127.0.0.1', 2906) --> command: ping
date: 04/10/2018 07:55:27.683	code: Info	text: self.ping()
date: 04/10/2018 07:55:27.683	code: Info	text: 0
date: 04/10/2018 07:55:42.716	code: Info	text: Connected by ('127.0.0.1', 2912) --> command: ping
date: 04/10/2018 07:55:42.716	code: Info	text: self.ping()
date: 04/10/2018 07:55:42.716	code: Info	text: 0
date: 04/10/2018 07:55:57.749	code: Info	text: Connected by ('127.0.0.1', 2917) --> command: ping
date: 04/10/2018 07:55:57.749	code: Info	text: self.ping()
date: 04/10/2018 07:55:57.749	code: Info	text: 0
