
date: 23/02/2019 19:00:38.109	code: Info	text: Init connection with serial port (COM8:9600)
date: 23/02/2019 19:00:38.125	code: Info	text: Done
date: 23/02/2019 19:00:38.156	code: Info	text: Focus Server started at port 3340....
date: 23/02/2019 19:00:38.624	code: Info	text: Connected by ('127.0.0.1', 4066) --> command: ping
date: 23/02/2019 19:00:38.624	code: Info	text: self.ping()
date: 23/02/2019 19:00:38.624	code: Info	text: OK
date: 23/02/2019 19:05:46.112	code: Info	text: Connected by ('127.0.0.1', 1537) --> command: fwd_time:1
date: 23/02/2019 19:05:46.112	code: Info	text: self.fwd_time(1)
date: 23/02/2019 19:05:46.470	code: Info	text: OK
date: 23/02/2019 19:05:46.610	code: Info	text: Connected by ('127.0.0.1', 1538) --> command: get_pos
date: 23/02/2019 19:05:46.610	code: Info	text: self.get_pos()
date: 23/02/2019 19:05:46.626	code: Info	text: 0.263580322
date: 23/02/2019 19:05:53.811	code: Info	text: Connected by ('127.0.0.1', 1544) --> command: fwd_time:1
date: 23/02/2019 19:05:53.811	code: Info	text: self.fwd_time(1)
date: 23/02/2019 19:05:54.154	code: Info	text: OK
date: 23/02/2019 19:05:54.435	code: Info	text: Connected by ('127.0.0.1', 1545) --> command: get_pos
date: 23/02/2019 19:05:54.435	code: Info	text: self.get_pos()
date: 23/02/2019 19:05:54.450	code: Info	text: 0.263793945
date: 23/02/2019 19:07:10.105	code: Info	text: Connected by ('127.0.0.1', 2255) --> command: fwd_time:1
date: 23/02/2019 19:07:10.105	code: Info	text: self.fwd_time(1)
date: 23/02/2019 19:07:10.448	code: Info	text: OK
date: 23/02/2019 19:07:10.494	code: Info	text: Connected by ('127.0.0.1', 2256) --> command: get_pos
date: 23/02/2019 19:07:10.494	code: Info	text: self.get_pos()
date: 23/02/2019 19:07:10.494	code: Info	text: 0.263992310
date: 23/02/2019 19:17:13.049	code: Info	text: Connected by ('127.0.0.1', 1874) --> command: fwd_time:1
date: 23/02/2019 19:17:13.049	code: Info	text: self.fwd_time(1)
date: 23/02/2019 19:17:13.392	code: Info	text: OK
date: 23/02/2019 19:17:13.501	code: Info	text: Connected by ('127.0.0.1', 1875) --> command: get_pos
date: 23/02/2019 19:17:13.501	code: Info	text: self.get_pos()
date: 23/02/2019 19:17:13.501	code: Info	text: 0.264221191
date: 23/02/2019 19:22:40.090	code: Info	text: Connected by ('127.0.0.1', 4025) --> command: rwd_time:1
date: 23/02/2019 19:22:40.090	code: Info	text: self.rwd_time(1)
