
date: 20/10/2018 22:12:02.951	code: Info	text: Focus Server started at port 3340....
date: 20/10/2018 22:12:18.392	code: Info	text: Connected by ('127.0.0.1', 3419) --> command: ping
date: 20/10/2018 22:12:18.392	code: Info	text: self.ping()
date: 20/10/2018 22:12:18.392	code: Info	text: 0
date: 20/10/2018 22:12:34.551	code: Info	text: Connected by ('127.0.0.1', 3427) --> command: ping
date: 20/10/2018 22:12:34.551	code: Info	text: self.ping()
date: 20/10/2018 22:12:34.551	code: Info	text: 0
date: 20/10/2018 22:12:49.441	code: Info	text: Connected by ('127.0.0.1', 3438) --> command: ping
date: 20/10/2018 22:12:49.441	code: Info	text: self.ping()
date: 20/10/2018 22:12:49.441	code: Info	text: 0
date: 20/10/2018 22:13:34.606	code: Info	text: Connected by ('127.0.0.1', 3456) --> command: ping
date: 20/10/2018 22:13:34.606	code: Info	text: self.ping()
date: 20/10/2018 22:13:34.606	code: Info	text: 0
date: 20/10/2018 22:14:19.646	code: Info	text: Connected by ('127.0.0.1', 3471) --> command: ping
date: 20/10/2018 22:14:19.646	code: Info	text: self.ping()
date: 20/10/2018 22:14:19.646	code: Info	text: 0
date: 20/10/2018 22:15:33.552	code: Info	text: Connected by ('127.0.0.1', 3494) --> command: ping
date: 20/10/2018 22:15:33.552	code: Info	text: self.ping()
date: 20/10/2018 22:15:33.552	code: Info	text: 0
date: 20/10/2018 22:15:48.586	code: Info	text: Connected by ('127.0.0.1', 3511) --> command: ping
date: 20/10/2018 22:15:48.586	code: Info	text: self.ping()
date: 20/10/2018 22:15:48.586	code: Info	text: 0
date: 20/10/2018 22:16:03.636	code: Info	text: Connected by ('127.0.0.1', 3519) --> command: ping
date: 20/10/2018 22:16:03.636	code: Info	text: self.ping()
date: 20/10/2018 22:16:03.636	code: Info	text: 0
date: 20/10/2018 22:16:18.670	code: Info	text: Connected by ('127.0.0.1', 3528) --> command: ping
date: 20/10/2018 22:16:18.670	code: Info	text: self.ping()
date: 20/10/2018 22:16:18.670	code: Info	text: 0
date: 20/10/2018 22:16:35.111	code: Info	text: Connected by ('127.0.0.1', 3535) --> command: ping
date: 20/10/2018 22:16:35.111	code: Info	text: self.ping()
date: 20/10/2018 22:16:35.111	code: Info	text: 0
date: 20/10/2018 22:16:50.676	code: Info	text: Connected by ('127.0.0.1', 3553) --> command: ping
date: 20/10/2018 22:16:50.676	code: Info	text: self.ping()
date: 20/10/2018 22:16:50.676	code: Info	text: 0
date: 20/10/2018 22:17:05.726	code: Info	text: Connected by ('127.0.0.1', 3562) --> command: ping
date: 20/10/2018 22:17:05.726	code: Info	text: self.ping()
date: 20/10/2018 22:17:05.726	code: Info	text: 0
date: 20/10/2018 22:17:20.760	code: Info	text: Connected by ('127.0.0.1', 3576) --> command: ping
date: 20/10/2018 22:17:20.760	code: Info	text: self.ping()
date: 20/10/2018 22:17:20.760	code: Info	text: 0
date: 20/10/2018 22:17:36.326	code: Info	text: Connected by ('127.0.0.1', 3586) --> command: ping
date: 20/10/2018 22:17:36.326	code: Info	text: self.ping()
date: 20/10/2018 22:17:36.326	code: Info	text: 0
date: 20/10/2018 22:17:51.391	code: Info	text: Connected by ('127.0.0.1', 3605) --> command: ping
date: 20/10/2018 22:17:51.391	code: Info	text: self.ping()
date: 20/10/2018 22:17:51.391	code: Info	text: 0
date: 20/10/2018 22:18:06.426	code: Info	text: Connected by ('127.0.0.1', 3611) --> command: ping
date: 20/10/2018 22:18:06.426	code: Info	text: self.ping()
date: 20/10/2018 22:18:06.426	code: Info	text: 0
date: 20/10/2018 22:18:21.460	code: Info	text: Connected by ('127.0.0.1', 3621) --> command: ping
date: 20/10/2018 22:18:21.460	code: Info	text: self.ping()
date: 20/10/2018 22:18:21.460	code: Info	text: 0
date: 20/10/2018 22:18:37.494	code: Info	text: Connected by ('127.0.0.1', 3631) --> command: ping
date: 20/10/2018 22:18:37.494	code: Info	text: self.ping()
date: 20/10/2018 22:18:37.494	code: Info	text: 0
date: 20/10/2018 22:18:52.544	code: Info	text: Connected by ('127.0.0.1', 3646) --> command: ping
date: 20/10/2018 22:18:52.544	code: Info	text: self.ping()
date: 20/10/2018 22:18:52.544	code: Info	text: 0
date: 20/10/2018 22:19:07.578	code: Info	text: Connected by ('127.0.0.1', 3652) --> command: ping
date: 20/10/2018 22:19:07.578	code: Info	text: self.ping()
date: 20/10/2018 22:19:07.578	code: Info	text: 0
date: 20/10/2018 22:19:24.129	code: Info	text: Connected by ('127.0.0.1', 3662) --> command: ping
date: 20/10/2018 22:19:24.129	code: Info	text: self.ping()
date: 20/10/2018 22:19:24.129	code: Info	text: 0
date: 20/10/2018 22:19:39.491	code: Info	text: Connected by ('127.0.0.1', 3674) --> command: ping
date: 20/10/2018 22:19:39.491	code: Info	text: self.ping()
date: 20/10/2018 22:19:39.491	code: Info	text: 0
date: 20/10/2018 22:19:54.525	code: Info	text: Connected by ('127.0.0.1', 3687) --> command: ping
date: 20/10/2018 22:19:54.525	code: Info	text: self.ping()
date: 20/10/2018 22:19:54.525	code: Info	text: 0
date: 20/10/2018 22:20:09.559	code: Info	text: Connected by ('127.0.0.1', 3693) --> command: ping
date: 20/10/2018 22:20:09.559	code: Info	text: self.ping()
date: 20/10/2018 22:20:09.559	code: Info	text: 0
date: 20/10/2018 22:20:25.828	code: Info	text: Connected by ('127.0.0.1', 3703) --> command: ping
date: 20/10/2018 22:20:25.828	code: Info	text: self.ping()
date: 20/10/2018 22:20:25.828	code: Info	text: 0
date: 20/10/2018 22:20:41.488	code: Info	text: Connected by ('127.0.0.1', 3718) --> command: ping
date: 20/10/2018 22:20:41.488	code: Info	text: self.ping()
date: 20/10/2018 22:20:41.488	code: Info	text: 0
date: 20/10/2018 22:20:56.694	code: Info	text: Connected by ('127.0.0.1', 3728) --> command: ping
date: 20/10/2018 22:20:56.694	code: Info	text: self.ping()
date: 20/10/2018 22:20:56.694	code: Info	text: 0
date: 20/10/2018 22:21:11.728	code: Info	text: Connected by ('127.0.0.1', 3734) --> command: ping
date: 20/10/2018 22:21:11.728	code: Info	text: self.ping()
date: 20/10/2018 22:21:11.728	code: Info	text: 0
date: 20/10/2018 22:21:28.513	code: Info	text: Connected by ('127.0.0.1', 3744) --> command: ping
date: 20/10/2018 22:21:28.513	code: Info	text: self.ping()
date: 20/10/2018 22:21:28.513	code: Info	text: 0
date: 20/10/2018 22:21:44.063	code: Info	text: Connected by ('127.0.0.1', 3759) --> command: ping
date: 20/10/2018 22:21:44.063	code: Info	text: self.ping()
date: 20/10/2018 22:21:44.063	code: Info	text: 0
date: 20/10/2018 22:21:59.097	code: Info	text: Connected by ('127.0.0.1', 3769) --> command: ping
date: 20/10/2018 22:21:59.097	code: Info	text: self.ping()
date: 20/10/2018 22:21:59.097	code: Info	text: 0
date: 20/10/2018 22:22:14.131	code: Info	text: Connected by ('127.0.0.1', 3775) --> command: ping
date: 20/10/2018 22:22:14.131	code: Info	text: self.ping()
date: 20/10/2018 22:22:14.131	code: Info	text: 0
date: 20/10/2018 22:22:30.650	code: Info	text: Connected by ('127.0.0.1', 3785) --> command: ping
date: 20/10/2018 22:22:30.650	code: Info	text: self.ping()
date: 20/10/2018 22:22:30.650	code: Info	text: 0
date: 20/10/2018 22:22:46.450	code: Info	text: Connected by ('127.0.0.1', 3800) --> command: ping
date: 20/10/2018 22:22:46.450	code: Info	text: self.ping()
date: 20/10/2018 22:22:46.450	code: Info	text: 0
date: 20/10/2018 22:23:01.474	code: Info	text: Connected by ('127.0.0.1', 3811) --> command: ping
date: 20/10/2018 22:23:01.474	code: Info	text: self.ping()
date: 20/10/2018 22:23:01.474	code: Info	text: 0
date: 20/10/2018 22:23:16.509	code: Info	text: Connected by ('127.0.0.1', 3817) --> command: ping
date: 20/10/2018 22:23:16.509	code: Info	text: self.ping()
date: 20/10/2018 22:23:16.509	code: Info	text: 0
date: 20/10/2018 22:23:32.668	code: Info	text: Connected by ('127.0.0.1', 3828) --> command: ping
date: 20/10/2018 22:23:32.668	code: Info	text: self.ping()
date: 20/10/2018 22:23:32.668	code: Info	text: 0
date: 20/10/2018 22:23:47.702	code: Info	text: Connected by ('127.0.0.1', 3844) --> command: ping
date: 20/10/2018 22:23:47.718	code: Info	text: self.ping()
date: 20/10/2018 22:23:47.718	code: Info	text: 0
date: 20/10/2018 22:24:02.752	code: Info	text: Connected by ('127.0.0.1', 3851) --> command: ping
date: 20/10/2018 22:24:02.752	code: Info	text: self.ping()
date: 20/10/2018 22:24:02.752	code: Info	text: 0
date: 20/10/2018 22:24:17.786	code: Info	text: Connected by ('127.0.0.1', 3859) --> command: ping
date: 20/10/2018 22:24:17.786	code: Info	text: self.ping()
date: 20/10/2018 22:24:17.786	code: Info	text: 0
date: 20/10/2018 22:24:32.821	code: Info	text: Connected by ('127.0.0.1', 3867) --> command: ping
date: 20/10/2018 22:24:32.821	code: Info	text: self.ping()
date: 20/10/2018 22:24:32.821	code: Info	text: 0
date: 20/10/2018 22:24:47.855	code: Info	text: Connected by ('127.0.0.1', 3888) --> command: ping
date: 20/10/2018 22:24:47.855	code: Info	text: self.ping()
date: 20/10/2018 22:24:47.855	code: Info	text: 0
date: 20/10/2018 22:24:54.309	code: Info	text: Connected by ('127.0.0.1', 3894) --> command: rwd_time:1
date: 20/10/2018 22:24:54.309	code: Info	text: self.rwd_time(1)
date: 20/10/2018 22:24:54.825	code: Info	text: OK
date: 20/10/2018 22:24:54.841	code: Info	text: Connected by ('127.0.0.1', 3895) --> command: get_pos
date: 20/10/2018 22:24:54.841	code: Info	text: self.get_pos()
date: 20/10/2018 22:24:54.856	code: Info	text: 0.114334106
date: 20/10/2018 22:25:01.326	code: Info	text: Connected by ('127.0.0.1', 3901) --> command: fwd_time:1
date: 20/10/2018 22:25:01.326	code: Info	text: self.fwd_time(1)
date: 20/10/2018 22:25:01.811	code: Info	text: OK
date: 20/10/2018 22:25:01.811	code: Info	text: Connected by ('127.0.0.1', 3902) --> command: get_pos
date: 20/10/2018 22:25:01.811	code: Info	text: self.get_pos()
date: 20/10/2018 22:25:01.826	code: Info	text: 0.114547729
date: 20/10/2018 22:25:03.248	code: Info	text: Connected by ('127.0.0.1', 3907) --> command: ping
date: 20/10/2018 22:25:03.248	code: Info	text: self.ping()
date: 20/10/2018 22:25:03.248	code: Info	text: 0.114547729
