
date: 25/09/2018 07:31:45.911	code: Info	text: Focus Server started at port 3340....
date: 25/09/2018 07:31:58.866	code: Info	text: Connected by ('127.0.0.1', 2974) --> command: ping
date: 25/09/2018 07:31:58.866	code: Info	text: self.ping()
date: 25/09/2018 07:31:58.866	code: Info	text: 0
date: 25/09/2018 07:32:15.134	code: Info	text: Connected by ('127.0.0.1', 2979) --> command: ping
date: 25/09/2018 07:32:15.134	code: Info	text: self.ping()
date: 25/09/2018 07:32:15.134	code: Info	text: 0
date: 25/09/2018 07:32:30.167	code: Info	text: Connected by ('127.0.0.1', 2987) --> command: ping
date: 25/09/2018 07:32:30.167	code: Info	text: self.ping()
date: 25/09/2018 07:32:30.182	code: Info	text: 0
date: 25/09/2018 07:33:15.204	code: Info	text: Connected by ('127.0.0.1', 3000) --> command: ping
date: 25/09/2018 07:33:15.204	code: Info	text: self.ping()
date: 25/09/2018 07:33:15.204	code: Info	text: 0
date: 25/09/2018 07:34:19.634	code: Info	text: Connected by ('127.0.0.1', 3013) --> command: ping
date: 25/09/2018 07:34:19.650	code: Info	text: self.ping()
date: 25/09/2018 07:34:19.650	code: Info	text: 0
date: 25/09/2018 07:34:35.699	code: Info	text: Connected by ('127.0.0.1', 3019) --> command: ping
date: 25/09/2018 07:34:35.699	code: Info	text: self.ping()
date: 25/09/2018 07:34:35.699	code: Info	text: 0
date: 25/09/2018 07:35:21.064	code: Info	text: Connected by ('127.0.0.1', 3028) --> command: ping
date: 25/09/2018 07:35:21.064	code: Info	text: self.ping()
date: 25/09/2018 07:35:21.064	code: Info	text: 0
date: 25/09/2018 07:35:44.535	code: Info	text: Connected by ('127.0.0.1', 3034) --> command: ping
date: 25/09/2018 07:35:44.535	code: Info	text: self.ping()
date: 25/09/2018 07:35:44.535	code: Info	text: 0
date: 25/09/2018 07:35:59.568	code: Info	text: Connected by ('127.0.0.1', 3042) --> command: ping
date: 25/09/2018 07:35:59.568	code: Info	text: self.ping()
date: 25/09/2018 07:35:59.568	code: Info	text: 0
date: 25/09/2018 07:36:14.601	code: Info	text: Connected by ('127.0.0.1', 3047) --> command: ping
date: 25/09/2018 07:36:14.601	code: Info	text: self.ping()
date: 25/09/2018 07:36:14.601	code: Info	text: 0
date: 25/09/2018 07:36:30.072	code: Info	text: Connected by ('127.0.0.1', 3062) --> command: ping
date: 25/09/2018 07:36:30.072	code: Info	text: self.ping()
date: 25/09/2018 07:36:30.072	code: Info	text: 0
date: 25/09/2018 07:36:45.636	code: Info	text: Connected by ('127.0.0.1', 3077) --> command: ping
date: 25/09/2018 07:36:45.636	code: Info	text: self.ping()
date: 25/09/2018 07:36:45.636	code: Info	text: 0
date: 25/09/2018 07:37:01.451	code: Info	text: Connected by ('127.0.0.1', 3093) --> command: ping
date: 25/09/2018 07:37:01.451	code: Info	text: self.ping()
date: 25/09/2018 07:37:01.451	code: Info	text: 0
date: 25/09/2018 07:37:16.921	code: Info	text: Connected by ('127.0.0.1', 3108) --> command: ping
date: 25/09/2018 07:37:16.921	code: Info	text: self.ping()
date: 25/09/2018 07:37:16.921	code: Info	text: 0
date: 25/09/2018 07:37:29.470	code: Info	text: Connected by ('127.0.0.1', 3118) --> command: fwd_time:1
date: 25/09/2018 07:37:29.470	code: Info	text: self.fwd_time(1)
date: 25/09/2018 07:37:30.001	code: Info	text: OK
date: 25/09/2018 07:37:30.017	code: Info	text: Connected by ('127.0.0.1', 3119) --> command: get_pos
date: 25/09/2018 07:37:30.017	code: Info	text: self.get_pos()
date: 25/09/2018 07:37:30.017	code: Info	text: 0.113006592
date: 25/09/2018 07:37:32.064	code: Info	text: Connected by ('127.0.0.1', 3125) --> command: ping
date: 25/09/2018 07:37:32.064	code: Info	text: self.ping()
date: 25/09/2018 07:37:32.064	code: Info	text: 0.113006592
date: 25/09/2018 07:37:36.236	code: Info	text: Connected by ('127.0.0.1', 3130) --> command: fwd_time:1
date: 25/09/2018 07:37:36.236	code: Info	text: self.fwd_time(1)
date: 25/09/2018 07:37:36.580	code: Info	text: OK
date: 25/09/2018 07:37:36.580	code: Info	text: Connected by ('127.0.0.1', 3131) --> command: get_pos
date: 25/09/2018 07:37:36.580	code: Info	text: self.get_pos()
date: 25/09/2018 07:37:36.596	code: Info	text: 0.113204956
date: 25/09/2018 07:37:42.768	code: Info	text: Connected by ('127.0.0.1', 3137) --> command: fwd_time:1
date: 25/09/2018 07:37:42.768	code: Info	text: self.fwd_time(1)
date: 25/09/2018 07:37:43.128	code: Info	text: OK
date: 25/09/2018 07:37:43.128	code: Info	text: Connected by ('127.0.0.1', 3138) --> command: get_pos
date: 25/09/2018 07:37:43.128	code: Info	text: self.get_pos()
date: 25/09/2018 07:37:43.143	code: Info	text: 0.113418579
date: 25/09/2018 07:37:47.113	code: Info	text: Connected by ('127.0.0.1', 3146) --> command: ping
date: 25/09/2018 07:37:47.113	code: Info	text: self.ping()
date: 25/09/2018 07:37:47.113	code: Info	text: 0.113418579
date: 25/09/2018 07:37:49.269	code: Info	text: Connected by ('127.0.0.1', 3150) --> command: fwd_time:1
date: 25/09/2018 07:37:49.269	code: Info	text: self.fwd_time(1)
date: 25/09/2018 07:37:49.597	code: Info	text: OK
date: 25/09/2018 07:37:49.613	code: Info	text: Connected by ('127.0.0.1', 3151) --> command: get_pos
date: 25/09/2018 07:37:49.613	code: Info	text: self.get_pos()
date: 25/09/2018 07:37:49.613	code: Info	text: 0.113616943
date: 25/09/2018 07:37:55.754	code: Info	text: Connected by ('127.0.0.1', 3157) --> command: fwd_time:1
date: 25/09/2018 07:37:55.754	code: Info	text: self.fwd_time(1)
date: 25/09/2018 07:37:56.098	code: Info	text: OK
date: 25/09/2018 07:37:56.114	code: Info	text: Connected by ('127.0.0.1', 3158) --> command: get_pos
date: 25/09/2018 07:37:56.114	code: Info	text: self.get_pos()
date: 25/09/2018 07:37:56.129	code: Info	text: 0.113815308
date: 25/09/2018 07:38:02.146	code: Info	text: Connected by ('127.0.0.1', 3167) --> command: ping
date: 25/09/2018 07:38:02.146	code: Info	text: self.ping()
date: 25/09/2018 07:38:02.146	code: Info	text: 0.113815308
date: 25/09/2018 07:38:02.286	code: Info	text: Connected by ('127.0.0.1', 3169) --> command: fwd_time:1
date: 25/09/2018 07:38:02.286	code: Info	text: self.fwd_time(1)
date: 25/09/2018 07:38:02.661	code: Info	text: OK
date: 25/09/2018 07:38:02.661	code: Info	text: Connected by ('127.0.0.1', 3170) --> command: get_pos
date: 25/09/2018 07:38:02.661	code: Info	text: self.get_pos()
date: 25/09/2018 07:38:02.677	code: Info	text: 0.114044189
date: 25/09/2018 07:38:08.771	code: Info	text: Connected by ('127.0.0.1', 3176) --> command: fwd_time:1
date: 25/09/2018 07:38:08.771	code: Info	text: self.fwd_time(1)
date: 25/09/2018 07:38:09.100	code: Info	text: OK
date: 25/09/2018 07:38:09.146	code: Info	text: Connected by ('127.0.0.1', 3177) --> command: get_pos
date: 25/09/2018 07:38:09.146	code: Info	text: self.get_pos()
date: 25/09/2018 07:38:09.146	code: Info	text: 0.114242554
date: 25/09/2018 07:38:15.257	code: Info	text: Connected by ('127.0.0.1', 3183) --> command: fwd_time:1
date: 25/09/2018 07:38:15.257	code: Info	text: self.fwd_time(1)
date: 25/09/2018 07:38:15.600	code: Info	text: OK
date: 25/09/2018 07:38:15.600	code: Info	text: Connected by ('127.0.0.1', 3184) --> command: get_pos
date: 25/09/2018 07:38:15.616	code: Info	text: self.get_pos()
date: 25/09/2018 07:38:15.616	code: Info	text: 0.114440918
date: 25/09/2018 07:38:17.569	code: Info	text: Connected by ('127.0.0.1', 3189) --> command: ping
date: 25/09/2018 07:38:17.569	code: Info	text: self.ping()
date: 25/09/2018 07:38:17.569	code: Info	text: 0.114440918
date: 25/09/2018 07:38:32.602	code: Info	text: Connected by ('127.0.0.1', 3202) --> command: ping
date: 25/09/2018 07:38:32.602	code: Info	text: self.ping()
date: 25/09/2018 07:38:32.602	code: Info	text: 0.114440918
date: 25/09/2018 07:38:47.651	code: Info	text: Connected by ('127.0.0.1', 3210) --> command: ping
date: 25/09/2018 07:38:47.651	code: Info	text: self.ping()
date: 25/09/2018 07:38:47.651	code: Info	text: 0.114440918
date: 25/09/2018 07:39:02.684	code: Info	text: Connected by ('127.0.0.1', 3215) --> command: ping
