
date: 31/10/2018 01:31:46.716	code: Info	text: Focus Server started at port 3340....
date: 31/10/2018 01:31:55.467	code: Info	text: Connected by ('127.0.0.1', 2397) --> command: ping
date: 31/10/2018 01:31:55.482	code: Info	text: self.ping()
date: 31/10/2018 01:31:55.482	code: Info	text: 0
date: 31/10/2018 01:32:11.953	code: Info	text: Connected by ('127.0.0.1', 2402) --> command: ping
date: 31/10/2018 01:32:11.953	code: Info	text: self.ping()
date: 31/10/2018 01:32:11.953	code: Info	text: 0
date: 31/10/2018 01:32:28.018	code: Info	text: Connected by ('127.0.0.1', 2410) --> command: ping
date: 31/10/2018 01:32:28.018	code: Info	text: self.ping()
date: 31/10/2018 01:32:28.018	code: Info	text: 0
date: 31/10/2018 01:32:43.942	code: Info	text: Connected by ('127.0.0.1', 2420) --> command: ping
date: 31/10/2018 01:32:43.942	code: Info	text: self.ping()
date: 31/10/2018 01:32:43.942	code: Info	text: 0
date: 31/10/2018 01:33:29.089	code: Info	text: Connected by ('127.0.0.1', 2439) --> command: ping
date: 31/10/2018 01:33:29.089	code: Info	text: self.ping()
date: 31/10/2018 01:33:29.089	code: Info	text: 0
date: 31/10/2018 01:34:14.126	code: Info	text: Connected by ('127.0.0.1', 2454) --> command: ping
date: 31/10/2018 01:34:14.126	code: Info	text: self.ping()
date: 31/10/2018 01:34:14.126	code: Info	text: 0
date: 31/10/2018 01:35:29.246	code: Info	text: Connected by ('127.0.0.1', 2476) --> command: ping
date: 31/10/2018 01:35:29.246	code: Info	text: self.ping()
date: 31/10/2018 01:35:29.246	code: Info	text: 0
date: 31/10/2018 01:35:44.295	code: Info	text: Connected by ('127.0.0.1', 2488) --> command: ping
date: 31/10/2018 01:35:44.295	code: Info	text: self.ping()
date: 31/10/2018 01:35:44.295	code: Info	text: 0
date: 31/10/2018 01:36:29.566	code: Info	text: Connected by ('127.0.0.1', 2500) --> command: ping
date: 31/10/2018 01:36:29.581	code: Info	text: self.ping()
date: 31/10/2018 01:36:29.581	code: Info	text: 0
date: 31/10/2018 01:36:53.318	code: Info	text: Connected by ('127.0.0.1', 2510) --> command: ping
date: 31/10/2018 01:36:53.318	code: Info	text: self.ping()
date: 31/10/2018 01:36:53.318	code: Info	text: 0
date: 31/10/2018 01:37:09.038	code: Info	text: Connected by ('127.0.0.1', 2530) --> command: ping
date: 31/10/2018 01:37:09.038	code: Info	text: self.ping()
date: 31/10/2018 01:37:09.038	code: Info	text: 0
date: 31/10/2018 01:37:24.103	code: Info	text: Connected by ('127.0.0.1', 2547) --> command: ping
date: 31/10/2018 01:37:24.103	code: Info	text: self.ping()
date: 31/10/2018 01:37:24.103	code: Info	text: 0
date: 31/10/2018 01:37:39.479	code: Info	text: Connected by ('127.0.0.1', 2567) --> command: ping
date: 31/10/2018 01:37:39.479	code: Info	text: self.ping()
date: 31/10/2018 01:37:39.479	code: Info	text: 0
date: 31/10/2018 01:37:55.559	code: Info	text: Connected by ('127.0.0.1', 2585) --> command: ping
date: 31/10/2018 01:37:55.559	code: Info	text: self.ping()
date: 31/10/2018 01:37:55.559	code: Info	text: 0
date: 31/10/2018 01:38:12.061	code: Info	text: Connected by ('127.0.0.1', 2607) --> command: ping
date: 31/10/2018 01:38:12.076	code: Info	text: self.ping()
date: 31/10/2018 01:38:12.076	code: Info	text: 0
date: 31/10/2018 01:38:57.268	code: Info	text: Connected by ('127.0.0.1', 2623) --> command: ping
date: 31/10/2018 01:38:57.268	code: Info	text: self.ping()
date: 31/10/2018 01:38:57.268	code: Info	text: 0
date: 31/10/2018 01:39:33.006	code: Info	text: Connected by ('127.0.0.1', 2632) --> command: ping
date: 31/10/2018 01:39:33.006	code: Info	text: self.ping()
date: 31/10/2018 01:39:33.006	code: Info	text: 0
date: 31/10/2018 01:39:48.508	code: Info	text: Connected by ('127.0.0.1', 2652) --> command: ping
date: 31/10/2018 01:39:48.508	code: Info	text: self.ping()
date: 31/10/2018 01:39:48.508	code: Info	text: 0
date: 31/10/2018 01:40:03.556	code: Info	text: Connected by ('127.0.0.1', 2670) --> command: ping
date: 31/10/2018 01:40:03.556	code: Info	text: self.ping()
date: 31/10/2018 01:40:03.556	code: Info	text: 0
date: 31/10/2018 01:40:18.589	code: Info	text: Connected by ('127.0.0.1', 2690) --> command: ping
date: 31/10/2018 01:40:18.589	code: Info	text: self.ping()
date: 31/10/2018 01:40:18.605	code: Info	text: 0
date: 31/10/2018 01:40:34.247	code: Info	text: Connected by ('127.0.0.1', 2707) --> command: ping
date: 31/10/2018 01:40:34.247	code: Info	text: self.ping()
date: 31/10/2018 01:40:34.247	code: Info	text: 0
date: 31/10/2018 01:40:50.358	code: Info	text: Connected by ('127.0.0.1', 2728) --> command: ping
date: 31/10/2018 01:40:50.358	code: Info	text: self.ping()
date: 31/10/2018 01:40:50.374	code: Info	text: 0
date: 31/10/2018 01:41:33.737	code: Info	text: Connected by ('127.0.0.1', 2743) --> command: ping
date: 31/10/2018 01:41:33.737	code: Info	text: self.ping()
date: 31/10/2018 01:41:33.737	code: Info	text: 0
date: 31/10/2018 01:41:48.786	code: Info	text: Connected by ('127.0.0.1', 2760) --> command: ping
date: 31/10/2018 01:41:48.786	code: Info	text: self.ping()
date: 31/10/2018 01:41:48.786	code: Info	text: 0
date: 31/10/2018 01:42:04.772	code: Info	text: Connected by ('127.0.0.1', 2781) --> command: ping
date: 31/10/2018 01:42:04.772	code: Info	text: self.ping()
date: 31/10/2018 01:42:04.772	code: Info	text: 0
date: 31/10/2018 01:42:20.273	code: Info	text: Connected by ('127.0.0.1', 2798) --> command: ping
date: 31/10/2018 01:42:20.273	code: Info	text: self.ping()
date: 31/10/2018 01:42:20.273	code: Info	text: 0
date: 31/10/2018 01:42:36.306	code: Info	text: Connected by ('127.0.0.1', 2818) --> command: ping
date: 31/10/2018 01:42:36.306	code: Info	text: self.ping()
date: 31/10/2018 01:42:36.306	code: Info	text: 0
date: 31/10/2018 01:42:52.745	code: Info	text: Connected by ('127.0.0.1', 2836) --> command: ping
date: 31/10/2018 01:42:52.745	code: Info	text: self.ping()
date: 31/10/2018 01:42:52.760	code: Info	text: 0
date: 31/10/2018 01:43:23.532	code: Info	text: Connected by ('127.0.0.1', 2849) --> command: ping
date: 31/10/2018 01:43:23.532	code: Info	text: self.ping()
date: 31/10/2018 01:43:23.532	code: Info	text: 0
date: 31/10/2018 01:43:38.564	code: Info	text: Connected by ('127.0.0.1', 2857) --> command: ping
date: 31/10/2018 01:43:38.564	code: Info	text: self.ping()
date: 31/10/2018 01:43:38.564	code: Info	text: 0
date: 31/10/2018 01:43:53.597	code: Info	text: Connected by ('127.0.0.1', 2863) --> command: ping
date: 31/10/2018 01:43:53.597	code: Info	text: self.ping()
date: 31/10/2018 01:43:53.597	code: Info	text: 0
date: 31/10/2018 01:44:08.630	code: Info	text: Connected by ('127.0.0.1', 2871) --> command: ping
date: 31/10/2018 01:44:08.645	code: Info	text: self.ping()
date: 31/10/2018 01:44:08.645	code: Info	text: 0
date: 31/10/2018 01:44:23.694	code: Info	text: Connected by ('127.0.0.1', 2877) --> command: ping
date: 31/10/2018 01:44:23.694	code: Info	text: self.ping()
date: 31/10/2018 01:44:23.694	code: Info	text: 0
date: 31/10/2018 01:45:08.760	code: Info	text: Connected by ('127.0.0.1', 2891) --> command: ping
date: 31/10/2018 01:45:08.760	code: Info	text: self.ping()
date: 31/10/2018 01:45:08.760	code: Info	text: 0
date: 31/10/2018 01:45:30.841	code: Info	text: Connected by ('127.0.0.1', 2897) --> command: ping
date: 31/10/2018 01:45:30.841	code: Info	text: self.ping()
date: 31/10/2018 01:45:30.841	code: Info	text: 0
date: 31/10/2018 01:45:45.889	code: Info	text: Connected by ('127.0.0.1', 2917) --> command: ping
date: 31/10/2018 01:45:45.889	code: Info	text: self.ping()
date: 31/10/2018 01:45:45.889	code: Info	text: 0
date: 31/10/2018 01:46:01.390	code: Info	text: Connected by ('127.0.0.1', 2935) --> command: ping
date: 31/10/2018 01:46:01.390	code: Info	text: self.ping()
date: 31/10/2018 01:46:01.390	code: Info	text: 0
date: 31/10/2018 01:46:16.861	code: Info	text: Connected by ('127.0.0.1', 2955) --> command: ping
date: 31/10/2018 01:46:16.861	code: Info	text: self.ping()
date: 31/10/2018 01:46:16.861	code: Info	text: 0
date: 31/10/2018 01:46:32.971	code: Info	text: Connected by ('127.0.0.1', 2972) --> command: ping
date: 31/10/2018 01:46:32.971	code: Info	text: self.ping()
date: 31/10/2018 01:46:32.971	code: Info	text: 0
date: 31/10/2018 01:46:49.223	code: Info	text: Connected by ('127.0.0.1', 2992) --> command: ping
date: 31/10/2018 01:46:49.223	code: Info	text: self.ping()
date: 31/10/2018 01:46:49.223	code: Info	text: 0
date: 31/10/2018 01:47:34.414	code: Info	text: Connected by ('127.0.0.1', 3007) --> command: ping
date: 31/10/2018 01:47:34.414	code: Info	text: self.ping()
date: 31/10/2018 01:47:34.414	code: Info	text: 0
date: 31/10/2018 01:48:09.824	code: Info	text: Connected by ('127.0.0.1', 3017) --> command: ping
date: 31/10/2018 01:48:09.840	code: Info	text: self.ping()
date: 31/10/2018 01:48:09.840	code: Info	text: 0
date: 31/10/2018 01:48:24.872	code: Info	text: Connected by ('127.0.0.1', 3037) --> command: ping
date: 31/10/2018 01:48:24.872	code: Info	text: self.ping()
date: 31/10/2018 01:48:24.872	code: Info	text: 0
date: 31/10/2018 01:48:40.170	code: Info	text: Connected by ('127.0.0.1', 3054) --> command: ping
date: 31/10/2018 01:48:40.170	code: Info	text: self.ping()
date: 31/10/2018 01:48:40.170	code: Info	text: 0
date: 31/10/2018 01:48:55.219	code: Info	text: Connected by ('127.0.0.1', 3075) --> command: ping
date: 31/10/2018 01:48:55.219	code: Info	text: self.ping()
date: 31/10/2018 01:48:55.219	code: Info	text: 0
date: 31/10/2018 01:49:10.986	code: Info	text: Connected by ('127.0.0.1', 3092) --> command: ping
date: 31/10/2018 01:49:10.986	code: Info	text: self.ping()
date: 31/10/2018 01:49:10.986	code: Info	text: 0
date: 31/10/2018 01:49:27.706	code: Info	text: Connected by ('127.0.0.1', 3112) --> command: ping
date: 31/10/2018 01:49:27.706	code: Info	text: self.ping()
date: 31/10/2018 01:49:27.706	code: Info	text: 0
date: 31/10/2018 01:50:05.365	code: Info	text: Connected by ('127.0.0.1', 3128) --> command: ping
date: 31/10/2018 01:50:05.365	code: Info	text: self.ping()
date: 31/10/2018 01:50:05.365	code: Info	text: 0
date: 31/10/2018 01:50:20.398	code: Info	text: Connected by ('127.0.0.1', 3145) --> command: ping
date: 31/10/2018 01:50:20.398	code: Info	text: self.ping()
date: 31/10/2018 01:50:20.398	code: Info	text: 0
date: 31/10/2018 01:50:35.446	code: Info	text: Connected by ('127.0.0.1', 3165) --> command: ping
date: 31/10/2018 01:50:35.446	code: Info	text: self.ping()
date: 31/10/2018 01:50:35.446	code: Info	text: 0
date: 31/10/2018 01:50:50.479	code: Info	text: Connected by ('127.0.0.1', 3183) --> command: ping
date: 31/10/2018 01:50:50.479	code: Info	text: self.ping()
date: 31/10/2018 01:50:50.479	code: Info	text: 0
date: 31/10/2018 01:51:05.512	code: Info	text: Connected by ('127.0.0.1', 3204) --> command: ping
date: 31/10/2018 01:51:05.512	code: Info	text: self.ping()
date: 31/10/2018 01:51:05.512	code: Info	text: 0
date: 31/10/2018 01:51:21.357	code: Info	text: Connected by ('127.0.0.1', 3221) --> command: ping
date: 31/10/2018 01:51:21.372	code: Info	text: self.ping()
date: 31/10/2018 01:51:21.372	code: Info	text: 0
date: 31/10/2018 01:52:06.439	code: Info	text: Connected by ('127.0.0.1', 3239) --> command: ping
date: 31/10/2018 01:52:06.439	code: Info	text: self.ping()
date: 31/10/2018 01:52:06.439	code: Info	text: 0
date: 31/10/2018 01:52:34.676	code: Info	text: Connected by ('127.0.0.1', 3248) --> command: ping
date: 31/10/2018 01:52:34.676	code: Info	text: self.ping()
date: 31/10/2018 01:52:34.676	code: Info	text: 0
date: 31/10/2018 01:52:49.724	code: Info	text: Connected by ('127.0.0.1', 3266) --> command: ping
date: 31/10/2018 01:52:49.724	code: Info	text: self.ping()
date: 31/10/2018 01:52:49.724	code: Info	text: 0
date: 31/10/2018 01:53:04.757	code: Info	text: Connected by ('127.0.0.1', 3289) --> command: ping
date: 31/10/2018 01:53:04.757	code: Info	text: self.ping()
date: 31/10/2018 01:53:04.757	code: Info	text: 0
date: 31/10/2018 01:53:19.710	code: Info	text: Connected by ('127.0.0.1', 3307) --> command: ping
date: 31/10/2018 01:53:19.710	code: Info	text: self.ping()
date: 31/10/2018 01:53:19.710	code: Info	text: 0
date: 31/10/2018 01:53:34.743	code: Info	text: Connected by ('127.0.0.1', 3327) --> command: ping
date: 31/10/2018 01:53:34.743	code: Info	text: self.ping()
date: 31/10/2018 01:53:34.743	code: Info	text: 0
date: 31/10/2018 01:53:50.619	code: Info	text: Connected by ('127.0.0.1', 3347) --> command: ping
date: 31/10/2018 01:53:50.619	code: Info	text: self.ping()
date: 31/10/2018 01:53:50.619	code: Info	text: 0
date: 31/10/2018 01:54:35.655	code: Info	text: Connected by ('127.0.0.1', 3359) --> command: ping
date: 31/10/2018 01:54:35.655	code: Info	text: self.ping()
date: 31/10/2018 01:54:35.655	code: Info	text: 0
date: 31/10/2018 01:55:16.580	code: Info	text: Connected by ('127.0.0.1', 3371) --> command: ping
date: 31/10/2018 01:55:16.580	code: Info	text: self.ping()
date: 31/10/2018 01:55:16.580	code: Info	text: 0
date: 31/10/2018 01:55:31.628	code: Info	text: Connected by ('127.0.0.1', 3376) --> command: ping
date: 31/10/2018 01:55:31.628	code: Info	text: self.ping()
date: 31/10/2018 01:55:31.628	code: Info	text: 0
date: 31/10/2018 01:55:46.661	code: Info	text: Connected by ('127.0.0.1', 3384) --> command: ping
date: 31/10/2018 01:55:46.661	code: Info	text: self.ping()
date: 31/10/2018 01:55:46.661	code: Info	text: 0
date: 31/10/2018 01:56:01.694	code: Info	text: Connected by ('127.0.0.1', 3391) --> command: ping
date: 31/10/2018 01:56:01.694	code: Info	text: self.ping()
date: 31/10/2018 01:56:01.694	code: Info	text: 0
date: 31/10/2018 01:56:16.726	code: Info	text: Connected by ('127.0.0.1', 3400) --> command: ping
date: 31/10/2018 01:56:16.726	code: Info	text: self.ping()
date: 31/10/2018 01:56:16.726	code: Info	text: 0
date: 31/10/2018 01:56:45.573	code: Info	text: Connected by ('127.0.0.1', 3410) --> command: ping
date: 31/10/2018 01:56:45.573	code: Info	text: self.ping()
date: 31/10/2018 01:56:45.573	code: Info	text: 0
date: 31/10/2018 01:57:00.605	code: Info	text: Connected by ('127.0.0.1', 3429) --> command: ping
date: 31/10/2018 01:57:00.621	code: Info	text: self.ping()
date: 31/10/2018 01:57:00.621	code: Info	text: 0
date: 31/10/2018 01:57:15.653	code: Info	text: Connected by ('127.0.0.1', 3446) --> command: ping
date: 31/10/2018 01:57:15.653	code: Info	text: self.ping()
date: 31/10/2018 01:57:15.653	code: Info	text: 0
date: 31/10/2018 01:57:30.702	code: Info	text: Connected by ('127.0.0.1', 3466) --> command: ping
date: 31/10/2018 01:57:30.702	code: Info	text: self.ping()
date: 31/10/2018 01:57:30.702	code: Info	text: 0
date: 31/10/2018 01:57:45.953	code: Info	text: Connected by ('127.0.0.1', 3483) --> command: ping
date: 31/10/2018 01:57:45.969	code: Info	text: self.ping()
date: 31/10/2018 01:57:45.969	code: Info	text: 0
date: 31/10/2018 01:58:02.236	code: Info	text: Connected by ('127.0.0.1', 3504) --> command: ping
date: 31/10/2018 01:58:02.236	code: Info	text: self.ping()
date: 31/10/2018 01:58:02.236	code: Info	text: 0
date: 31/10/2018 01:58:43.943	code: Info	text: Connected by ('127.0.0.1', 3519) --> command: ping
date: 31/10/2018 01:58:43.943	code: Info	text: self.ping()
date: 31/10/2018 01:58:43.958	code: Info	text: 0
date: 31/10/2018 01:58:59.428	code: Info	text: Connected by ('127.0.0.1', 3540) --> command: ping
date: 31/10/2018 01:58:59.428	code: Info	text: self.ping()
date: 31/10/2018 01:58:59.428	code: Info	text: 0
date: 31/10/2018 01:59:15.508	code: Info	text: Connected by ('127.0.0.1', 3557) --> command: ping
date: 31/10/2018 01:59:15.508	code: Info	text: self.ping()
date: 31/10/2018 01:59:15.508	code: Info	text: 0
date: 31/10/2018 01:59:31.650	code: Info	text: Connected by ('127.0.0.1', 3577) --> command: ping
date: 31/10/2018 01:59:31.650	code: Info	text: self.ping()
date: 31/10/2018 01:59:31.650	code: Info	text: 0
date: 31/10/2018 01:59:46.683	code: Info	text: Connected by ('127.0.0.1', 3592) --> command: ping
date: 31/10/2018 01:59:46.683	code: Info	text: self.ping()
date: 31/10/2018 01:59:46.683	code: Info	text: 0
date: 31/10/2018 02:00:02.481	code: Info	text: Connected by ('127.0.0.1', 3613) --> command: ping
date: 31/10/2018 02:00:02.481	code: Info	text: self.ping()
date: 31/10/2018 02:00:02.481	code: Info	text: 0
date: 31/10/2018 02:00:47.657	code: Info	text: Connected by ('127.0.0.1', 3629) --> command: ping
date: 31/10/2018 02:00:47.657	code: Info	text: self.ping()
date: 31/10/2018 02:00:47.657	code: Info	text: 0
date: 31/10/2018 02:01:20.785	code: Info	text: Connected by ('127.0.0.1', 3639) --> command: ping
date: 31/10/2018 02:01:20.785	code: Info	text: self.ping()
date: 31/10/2018 02:01:20.800	code: Info	text: 0
date: 31/10/2018 02:01:36.396	code: Info	text: Connected by ('127.0.0.1', 3659) --> command: ping
date: 31/10/2018 02:01:36.396	code: Info	text: self.ping()
date: 31/10/2018 02:01:36.396	code: Info	text: 0
date: 31/10/2018 02:01:53.038	code: Info	text: Connected by ('127.0.0.1', 3677) --> command: ping
date: 31/10/2018 02:01:53.038	code: Info	text: self.ping()
date: 31/10/2018 02:01:53.038	code: Info	text: 0
date: 31/10/2018 02:02:08.945	code: Info	text: Connected by ('127.0.0.1', 3697) --> command: ping
date: 31/10/2018 02:02:08.945	code: Info	text: self.ping()
date: 31/10/2018 02:02:08.945	code: Info	text: 0
date: 31/10/2018 02:02:25.134	code: Info	text: Connected by ('127.0.0.1', 3714) --> command: ping
date: 31/10/2018 02:02:25.134	code: Info	text: self.ping()
date: 31/10/2018 02:02:25.134	code: Info	text: 0
date: 31/10/2018 02:02:40.167	code: Info	text: Connected by ('127.0.0.1', 3732) --> command: ping
date: 31/10/2018 02:02:40.167	code: Info	text: self.ping()
date: 31/10/2018 02:02:40.167	code: Info	text: 0
date: 31/10/2018 02:03:25.281	code: Info	text: Connected by ('127.0.0.1', 3750) --> command: ping
date: 31/10/2018 02:03:25.281	code: Info	text: self.ping()
date: 31/10/2018 02:03:25.281	code: Info	text: 0
