
date: 11/09/2018 07:18:37.162	code: Info	text: Focus Server started at port 3340....
date: 11/09/2018 07:18:46.851	code: Info	text: Connected by ('127.0.0.1', 2372) --> command: ping
date: 11/09/2018 07:18:46.851	code: Info	text: self.ping()
date: 11/09/2018 07:18:46.851	code: Info	text: 0
date: 11/09/2018 07:19:03.415	code: Info	text: Connected by ('127.0.0.1', 2377) --> command: ping
date: 11/09/2018 07:19:03.415	code: Info	text: self.ping()
date: 11/09/2018 07:19:03.415	code: Info	text: 0
date: 11/09/2018 07:19:19.683	code: Info	text: Connected by ('127.0.0.1', 2382) --> command: ping
date: 11/09/2018 07:19:19.683	code: Info	text: self.ping()
date: 11/09/2018 07:19:19.683	code: Info	text: 0
date: 11/09/2018 07:19:35.669	code: Info	text: Connected by ('127.0.0.1', 2387) --> command: ping
date: 11/09/2018 07:19:35.669	code: Info	text: self.ping()
date: 11/09/2018 07:19:35.669	code: Info	text: 0
date: 11/09/2018 07:19:51.687	code: Info	text: Connected by ('127.0.0.1', 2393) --> command: ping
date: 11/09/2018 07:19:51.687	code: Info	text: self.ping()
date: 11/09/2018 07:19:51.687	code: Info	text: 0
date: 11/09/2018 07:20:07.829	code: Info	text: Connected by ('127.0.0.1', 2398) --> command: ping
date: 11/09/2018 07:20:07.829	code: Info	text: self.ping()
date: 11/09/2018 07:20:07.829	code: Info	text: 0
date: 11/09/2018 07:20:23.878	code: Info	text: Connected by ('127.0.0.1', 2406) --> command: ping
date: 11/09/2018 07:20:23.878	code: Info	text: self.ping()
date: 11/09/2018 07:20:23.878	code: Info	text: 0
date: 11/09/2018 07:20:39.865	code: Info	text: Connected by ('127.0.0.1', 2412) --> command: ping
date: 11/09/2018 07:20:39.865	code: Info	text: self.ping()
date: 11/09/2018 07:20:39.865	code: Info	text: 0
date: 11/09/2018 07:20:55.851	code: Info	text: Connected by ('127.0.0.1', 2417) --> command: ping
date: 11/09/2018 07:20:55.851	code: Info	text: self.ping()
date: 11/09/2018 07:20:55.851	code: Info	text: 0
date: 11/09/2018 07:21:11.853	code: Info	text: Connected by ('127.0.0.1', 2422) --> command: ping
date: 11/09/2018 07:21:11.853	code: Info	text: self.ping()
date: 11/09/2018 07:21:11.853	code: Info	text: 0
date: 11/09/2018 07:21:27.886	code: Info	text: Connected by ('127.0.0.1', 2427) --> command: ping
date: 11/09/2018 07:21:27.886	code: Info	text: self.ping()
date: 11/09/2018 07:21:27.886	code: Info	text: 0
date: 11/09/2018 07:21:43.997	code: Info	text: Connected by ('127.0.0.1', 2436) --> command: ping
date: 11/09/2018 07:21:43.997	code: Info	text: self.ping()
date: 11/09/2018 07:21:43.997	code: Info	text: 0
date: 11/09/2018 07:22:00.078	code: Info	text: Connected by ('127.0.0.1', 2441) --> command: ping
date: 11/09/2018 07:22:00.078	code: Info	text: self.ping()
date: 11/09/2018 07:22:00.078	code: Info	text: 0
date: 11/09/2018 07:22:16.126	code: Info	text: Connected by ('127.0.0.1', 2447) --> command: ping
date: 11/09/2018 07:22:16.126	code: Info	text: self.ping()
date: 11/09/2018 07:22:16.126	code: Info	text: 0
date: 11/09/2018 07:22:32.128	code: Info	text: Connected by ('127.0.0.1', 2455) --> command: ping
date: 11/09/2018 07:22:32.128	code: Info	text: self.ping()
date: 11/09/2018 07:22:32.128	code: Info	text: 0
date: 11/09/2018 07:22:48.115	code: Info	text: Connected by ('127.0.0.1', 2461) --> command: ping
date: 11/09/2018 07:22:48.115	code: Info	text: self.ping()
date: 11/09/2018 07:22:48.115	code: Info	text: 0
date: 11/09/2018 07:23:04.117	code: Info	text: Connected by ('127.0.0.1', 2466) --> command: ping
date: 11/09/2018 07:23:04.117	code: Info	text: self.ping()
date: 11/09/2018 07:23:04.132	code: Info	text: 0
date: 11/09/2018 07:23:20.118	code: Info	text: Connected by ('127.0.0.1', 2471) --> command: ping
date: 11/09/2018 07:23:20.118	code: Info	text: self.ping()
date: 11/09/2018 07:23:20.118	code: Info	text: 0
date: 11/09/2018 07:23:36.120	code: Info	text: Connected by ('127.0.0.1', 2476) --> command: ping
date: 11/09/2018 07:23:36.120	code: Info	text: self.ping()
date: 11/09/2018 07:23:36.120	code: Info	text: 0
date: 11/09/2018 07:23:52.107	code: Info	text: Connected by ('127.0.0.1', 2483) --> command: ping
date: 11/09/2018 07:23:52.107	code: Info	text: self.ping()
date: 11/09/2018 07:23:52.107	code: Info	text: 0
date: 11/09/2018 07:24:08.109	code: Info	text: Connected by ('127.0.0.1', 2488) --> command: ping
date: 11/09/2018 07:24:08.109	code: Info	text: self.ping()
date: 11/09/2018 07:24:08.109	code: Info	text: 0
date: 11/09/2018 07:24:24.204	code: Info	text: Connected by ('127.0.0.1', 2495) --> command: ping
date: 11/09/2018 07:24:24.204	code: Info	text: self.ping()
date: 11/09/2018 07:24:24.204	code: Info	text: 0
date: 11/09/2018 07:24:40.191	code: Info	text: Connected by ('127.0.0.1', 2501) --> command: ping
date: 11/09/2018 07:24:40.191	code: Info	text: self.ping()
date: 11/09/2018 07:24:40.191	code: Info	text: 0
date: 11/09/2018 07:24:56.286	code: Info	text: Connected by ('127.0.0.1', 2506) --> command: ping
date: 11/09/2018 07:24:56.286	code: Info	text: self.ping()
date: 11/09/2018 07:24:56.286	code: Info	text: 0
date: 11/09/2018 07:25:12.288	code: Info	text: Connected by ('127.0.0.1', 2511) --> command: ping
date: 11/09/2018 07:25:12.288	code: Info	text: self.ping()
date: 11/09/2018 07:25:12.288	code: Info	text: 0
date: 11/09/2018 07:25:28.275	code: Info	text: Connected by ('127.0.0.1', 2519) --> command: ping
date: 11/09/2018 07:25:28.275	code: Info	text: self.ping()
date: 11/09/2018 07:25:28.290	code: Info	text: 0
date: 11/09/2018 07:25:43.308	code: Info	text: Connected by ('127.0.0.1', 2526) --> command: ping
date: 11/09/2018 07:25:43.323	code: Info	text: self.ping()
date: 11/09/2018 07:25:43.323	code: Info	text: 0
date: 11/09/2018 07:25:59.263	code: Info	text: Connected by ('127.0.0.1', 2532) --> command: ping
date: 11/09/2018 07:25:59.263	code: Info	text: self.ping()
date: 11/09/2018 07:25:59.263	code: Info	text: 0
date: 11/09/2018 07:26:14.296	code: Info	text: Connected by ('127.0.0.1', 2537) --> command: ping
date: 11/09/2018 07:26:14.296	code: Info	text: self.ping()
date: 11/09/2018 07:26:14.296	code: Info	text: 0
date: 11/09/2018 07:26:29.329	code: Info	text: Connected by ('127.0.0.1', 2545) --> command: ping
date: 11/09/2018 07:26:29.329	code: Info	text: self.ping()
date: 11/09/2018 07:26:29.329	code: Info	text: 0
date: 11/09/2018 07:27:15.436	code: Info	text: Connected by ('127.0.0.1', 2559) --> command: ping
date: 11/09/2018 07:27:15.436	code: Info	text: self.ping()
date: 11/09/2018 07:27:15.436	code: Info	text: 0
date: 11/09/2018 07:28:00.707	code: Info	text: Connected by ('127.0.0.1', 2569) --> command: ping
date: 11/09/2018 07:28:00.707	code: Info	text: self.ping()
date: 11/09/2018 07:28:00.707	code: Info	text: 0
date: 11/09/2018 07:28:45.650	code: Info	text: Connected by ('127.0.0.1', 2578) --> command: ping
date: 11/09/2018 07:28:45.650	code: Info	text: self.ping()
date: 11/09/2018 07:28:45.650	code: Info	text: 0
date: 11/09/2018 07:29:00.621	code: Info	text: Connected by ('127.0.0.1', 2589) --> command: rwd_time:1
date: 11/09/2018 07:29:00.621	code: Info	text: self.rwd_time(1)
date: 11/09/2018 07:29:01.168	code: Info	text: OK
date: 11/09/2018 07:29:01.168	code: Info	text: Connected by ('127.0.0.1', 2593) --> command: get_pos
date: 11/09/2018 07:29:01.168	code: Info	text: self.get_pos()
date: 11/09/2018 07:29:01.199	code: Info	text: 0.115463257
date: 11/09/2018 07:29:01.199	code: Info	text: Connected by ('127.0.0.1', 2594) --> command: ping
date: 11/09/2018 07:29:01.199	code: Info	text: self.ping()
date: 11/09/2018 07:29:01.199	code: Info	text: 0.115463257
date: 11/09/2018 07:29:07.653	code: Info	text: Connected by ('127.0.0.1', 2601) --> command: rwd_time:1
date: 11/09/2018 07:29:07.653	code: Info	text: self.rwd_time(1)
date: 11/09/2018 07:29:08.044	code: Info	text: OK
date: 11/09/2018 07:29:08.044	code: Info	text: Connected by ('127.0.0.1', 2602) --> command: get_pos
date: 11/09/2018 07:29:08.044	code: Info	text: self.get_pos()
date: 11/09/2018 07:29:08.059	code: Info	text: 0.115310669
date: 11/09/2018 07:29:14.732	code: Info	text: Connected by ('127.0.0.1', 2608) --> command: rwd_time:1
