
date: 12/09/2018 07:25:50.606	code: Info	text: Focus Server started at port 3340....
date: 12/09/2018 07:25:55.825	code: Info	text: Connected by ('127.0.0.1', 3935) --> command: ping
date: 12/09/2018 07:25:55.825	code: Info	text: self.ping()
date: 12/09/2018 07:25:55.825	code: Info	text: 0
date: 12/09/2018 07:26:12.905	code: Info	text: Connected by ('127.0.0.1', 3940) --> command: ping
date: 12/09/2018 07:26:12.905	code: Info	text: self.ping()
date: 12/09/2018 07:26:12.905	code: Info	text: 0
date: 12/09/2018 07:26:29.173	code: Info	text: Connected by ('127.0.0.1', 3945) --> command: ping
date: 12/09/2018 07:26:29.173	code: Info	text: self.ping()
date: 12/09/2018 07:26:29.173	code: Info	text: 0
date: 12/09/2018 07:26:44.206	code: Info	text: Connected by ('127.0.0.1', 3952) --> command: ping
date: 12/09/2018 07:26:44.206	code: Info	text: self.ping()
date: 12/09/2018 07:26:44.206	code: Info	text: 0
date: 12/09/2018 07:27:29.243	code: Info	text: Connected by ('127.0.0.1', 3965) --> command: ping
date: 12/09/2018 07:27:29.243	code: Info	text: self.ping()
date: 12/09/2018 07:27:29.243	code: Info	text: 0
date: 12/09/2018 07:28:25.794	code: Info	text: Connected by ('127.0.0.1', 3977) --> command: ping
date: 12/09/2018 07:28:25.794	code: Info	text: self.ping()
date: 12/09/2018 07:28:25.794	code: Info	text: 0
date: 12/09/2018 07:28:41.296	code: Info	text: Connected by ('127.0.0.1', 3982) --> command: ping
date: 12/09/2018 07:28:41.296	code: Info	text: self.ping()
date: 12/09/2018 07:28:41.296	code: Info	text: 0
date: 12/09/2018 07:28:56.329	code: Info	text: Connected by ('127.0.0.1', 3988) --> command: ping
date: 12/09/2018 07:28:56.329	code: Info	text: self.ping()
date: 12/09/2018 07:28:56.329	code: Info	text: 0
date: 12/09/2018 07:29:11.362	code: Info	text: Connected by ('127.0.0.1', 3993) --> command: ping
date: 12/09/2018 07:29:11.362	code: Info	text: self.ping()
date: 12/09/2018 07:29:11.362	code: Info	text: 0
date: 12/09/2018 07:29:26.395	code: Info	text: Connected by ('127.0.0.1', 3998) --> command: ping
date: 12/09/2018 07:29:26.395	code: Info	text: self.ping()
date: 12/09/2018 07:29:26.395	code: Info	text: 0
date: 12/09/2018 07:29:41.428	code: Info	text: Connected by ('127.0.0.1', 4003) --> command: ping
date: 12/09/2018 07:29:41.428	code: Info	text: self.ping()
date: 12/09/2018 07:29:41.428	code: Info	text: 0
date: 12/09/2018 07:29:56.461	code: Info	text: Connected by ('127.0.0.1', 4009) --> command: ping
date: 12/09/2018 07:29:56.461	code: Info	text: self.ping()
