
date: 05/10/2018 07:24:35.968	code: Info	text: Focus Server started at port 3340....
date: 05/10/2018 07:24:49.657	code: Info	text: Connected by ('127.0.0.1', 4660) --> command: ping
date: 05/10/2018 07:24:49.657	code: Info	text: self.ping()
date: 05/10/2018 07:24:49.657	code: Info	text: 0
date: 05/10/2018 07:25:05.847	code: Info	text: Connected by ('127.0.0.1', 4665) --> command: ping
date: 05/10/2018 07:25:05.847	code: Info	text: self.ping()
date: 05/10/2018 07:25:05.847	code: Info	text: 0
date: 05/10/2018 07:25:20.880	code: Info	text: Connected by ('127.0.0.1', 4674) --> command: ping
date: 05/10/2018 07:25:20.880	code: Info	text: self.ping()
date: 05/10/2018 07:25:20.880	code: Info	text: 0
date: 05/10/2018 07:26:05.823	code: Info	text: Connected by ('127.0.0.1', 4690) --> command: ping
date: 05/10/2018 07:26:05.823	code: Info	text: self.ping()
date: 05/10/2018 07:26:05.823	code: Info	text: 0
date: 05/10/2018 07:26:56.782	code: Info	text: Connected by ('127.0.0.1', 4701) --> command: ping
date: 05/10/2018 07:26:56.782	code: Info	text: self.ping()
date: 05/10/2018 07:26:56.782	code: Info	text: 0
date: 05/10/2018 07:27:12.191	code: Info	text: Connected by ('127.0.0.1', 4707) --> command: ping
date: 05/10/2018 07:27:12.191	code: Info	text: self.ping()
date: 05/10/2018 07:27:12.191	code: Info	text: 0
date: 05/10/2018 07:27:57.337	code: Info	text: Connected by ('127.0.0.1', 4717) --> command: ping
date: 05/10/2018 07:27:57.337	code: Info	text: self.ping()
date: 05/10/2018 07:27:57.337	code: Info	text: 0
date: 05/10/2018 07:28:18.855	code: Info	text: Connected by ('127.0.0.1', 4723) --> command: ping
date: 05/10/2018 07:28:18.855	code: Info	text: self.ping()
date: 05/10/2018 07:28:18.855	code: Info	text: 0
date: 05/10/2018 07:28:34.357	code: Info	text: Connected by ('127.0.0.1', 4740) --> command: ping
date: 05/10/2018 07:28:34.357	code: Info	text: self.ping()
date: 05/10/2018 07:28:34.357	code: Info	text: 0
date: 05/10/2018 07:28:50.062	code: Info	text: Connected by ('127.0.0.1', 4758) --> command: ping
date: 05/10/2018 07:28:50.062	code: Info	text: self.ping()
date: 05/10/2018 07:28:50.062	code: Info	text: 0
date: 05/10/2018 07:29:05.111	code: Info	text: Connected by ('127.0.0.1', 4775) --> command: ping
date: 05/10/2018 07:29:05.111	code: Info	text: self.ping()
date: 05/10/2018 07:29:05.111	code: Info	text: 0
date: 05/10/2018 07:29:20.628	code: Info	text: Connected by ('127.0.0.1', 4792) --> command: ping
date: 05/10/2018 07:29:20.628	code: Info	text: self.ping()
date: 05/10/2018 07:29:20.644	code: Info	text: 0
date: 05/10/2018 07:29:36.943	code: Info	text: Connected by ('127.0.0.1', 4809) --> command: ping
date: 05/10/2018 07:29:36.943	code: Info	text: self.ping()
date: 05/10/2018 07:29:36.943	code: Info	text: 0
date: 05/10/2018 07:30:22.026	code: Info	text: Connected by ('127.0.0.1', 4821) --> command: ping
date: 05/10/2018 07:30:22.026	code: Info	text: self.ping()
date: 05/10/2018 07:30:22.026	code: Info	text: 0
date: 05/10/2018 07:30:50.858	code: Info	text: Connected by ('127.0.0.1', 4828) --> command: ping
date: 05/10/2018 07:30:50.858	code: Info	text: self.ping()
date: 05/10/2018 07:30:50.873	code: Info	text: 0
date: 05/10/2018 07:31:05.891	code: Info	text: Connected by ('127.0.0.1', 4845) --> command: ping
date: 05/10/2018 07:31:05.891	code: Info	text: self.ping()
date: 05/10/2018 07:31:05.906	code: Info	text: 0
date: 05/10/2018 07:31:20.940	code: Info	text: Connected by ('127.0.0.1', 4862) --> command: ping
date: 05/10/2018 07:31:20.940	code: Info	text: self.ping()
date: 05/10/2018 07:31:20.940	code: Info	text: 0
date: 05/10/2018 07:31:35.973	code: Info	text: Connected by ('127.0.0.1', 4879) --> command: ping
date: 05/10/2018 07:31:35.973	code: Info	text: self.ping()
date: 05/10/2018 07:31:35.973	code: Info	text: 0
date: 05/10/2018 07:31:51.006	code: Info	text: Connected by ('127.0.0.1', 4897) --> command: ping
date: 05/10/2018 07:31:51.006	code: Info	text: self.ping()
date: 05/10/2018 07:31:51.006	code: Info	text: 0
date: 05/10/2018 07:32:07.305	code: Info	text: Connected by ('127.0.0.1', 4914) --> command: ping
date: 05/10/2018 07:32:07.305	code: Info	text: self.ping()
date: 05/10/2018 07:32:07.305	code: Info	text: 0
date: 05/10/2018 07:32:46.794	code: Info	text: Connected by ('127.0.0.1', 4927) --> command: ping
date: 05/10/2018 07:32:46.794	code: Info	text: self.ping()
date: 05/10/2018 07:32:46.794	code: Info	text: 0
date: 05/10/2018 07:33:01.827	code: Info	text: Connected by ('127.0.0.1', 4944) --> command: ping
date: 05/10/2018 07:33:01.827	code: Info	text: self.ping()
date: 05/10/2018 07:33:01.827	code: Info	text: 0
date: 05/10/2018 07:33:16.860	code: Info	text: Connected by ('127.0.0.1', 4961) --> command: ping
date: 05/10/2018 07:33:16.860	code: Info	text: self.ping()
date: 05/10/2018 07:33:16.860	code: Info	text: 0
date: 05/10/2018 07:33:31.893	code: Info	text: Connected by ('127.0.0.1', 4979) --> command: ping
date: 05/10/2018 07:33:31.893	code: Info	text: self.ping()
date: 05/10/2018 07:33:31.893	code: Info	text: 0
date: 05/10/2018 07:33:47.239	code: Info	text: Connected by ('127.0.0.1', 5000) --> command: ping
date: 05/10/2018 07:33:47.239	code: Info	text: self.ping()
date: 05/10/2018 07:33:47.254	code: Info	text: 0
date: 05/10/2018 07:34:02.850	code: Info	text: Connected by ('127.0.0.1', 1047) --> command: ping
date: 05/10/2018 07:34:02.850	code: Info	text: self.ping()
date: 05/10/2018 07:34:02.850	code: Info	text: 0
date: 05/10/2018 07:34:47.902	code: Info	text: Connected by ('127.0.0.1', 1063) --> command: ping
date: 05/10/2018 07:34:47.902	code: Info	text: self.ping()
date: 05/10/2018 07:34:47.902	code: Info	text: 0
date: 05/10/2018 07:35:19.109	code: Info	text: Connected by ('127.0.0.1', 1069) --> command: ping
date: 05/10/2018 07:35:19.109	code: Info	text: self.ping()
date: 05/10/2018 07:35:19.109	code: Info	text: 0
date: 05/10/2018 07:35:34.142	code: Info	text: Connected by ('127.0.0.1', 1086) --> command: ping
date: 05/10/2018 07:35:34.158	code: Info	text: self.ping()
date: 05/10/2018 07:35:34.158	code: Info	text: 0
date: 05/10/2018 07:35:49.098	code: Info	text: Connected by ('127.0.0.1', 1105) --> command: ping
date: 05/10/2018 07:35:49.098	code: Info	text: self.ping()
date: 05/10/2018 07:35:49.098	code: Info	text: 0
date: 05/10/2018 07:36:04.131	code: Info	text: Connected by ('127.0.0.1', 1122) --> command: ping
date: 05/10/2018 07:36:04.131	code: Info	text: self.ping()
date: 05/10/2018 07:36:04.131	code: Info	text: 0
date: 05/10/2018 07:36:19.195	code: Info	text: Connected by ('127.0.0.1', 1139) --> command: ping
date: 05/10/2018 07:36:19.211	code: Info	text: self.ping()
date: 05/10/2018 07:36:19.211	code: Info	text: 0
date: 05/10/2018 07:36:34.900	code: Info	text: Connected by ('127.0.0.1', 1156) --> command: ping
date: 05/10/2018 07:36:34.900	code: Info	text: self.ping()
date: 05/10/2018 07:36:34.900	code: Info	text: 0
date: 05/10/2018 07:37:19.921	code: Info	text: Connected by ('127.0.0.1', 1166) --> command: ping
date: 05/10/2018 07:37:19.921	code: Info	text: self.ping()
date: 05/10/2018 07:37:19.937	code: Info	text: 0
date: 05/10/2018 07:37:59.895	code: Info	text: Connected by ('127.0.0.1', 1172) --> command: ping
date: 05/10/2018 07:37:59.895	code: Info	text: self.ping()
date: 05/10/2018 07:37:59.895	code: Info	text: 0
date: 05/10/2018 07:38:14.928	code: Info	text: Connected by ('127.0.0.1', 1177) --> command: ping
date: 05/10/2018 07:38:14.928	code: Info	text: self.ping()
date: 05/10/2018 07:38:14.928	code: Info	text: 0
date: 05/10/2018 07:38:29.961	code: Info	text: Connected by ('127.0.0.1', 1182) --> command: ping
date: 05/10/2018 07:38:29.961	code: Info	text: self.ping()
date: 05/10/2018 07:38:29.961	code: Info	text: 0
date: 05/10/2018 07:38:44.994	code: Info	text: Connected by ('127.0.0.1', 1190) --> command: ping
date: 05/10/2018 07:38:44.994	code: Info	text: self.ping()
date: 05/10/2018 07:38:44.994	code: Info	text: 0
date: 05/10/2018 07:39:00.027	code: Info	text: Connected by ('127.0.0.1', 1196) --> command: ping
date: 05/10/2018 07:39:00.027	code: Info	text: self.ping()
date: 05/10/2018 07:39:00.027	code: Info	text: 0
date: 05/10/2018 07:39:29.250	code: Info	text: Connected by ('127.0.0.1', 1204) --> command: ping
date: 05/10/2018 07:39:29.250	code: Info	text: self.ping()
date: 05/10/2018 07:39:29.265	code: Info	text: 0
date: 05/10/2018 07:39:44.298	code: Info	text: Connected by ('127.0.0.1', 1222) --> command: ping
date: 05/10/2018 07:39:44.298	code: Info	text: self.ping()
date: 05/10/2018 07:39:44.298	code: Info	text: 0
date: 05/10/2018 07:39:59.331	code: Info	text: Connected by ('127.0.0.1', 1240) --> command: ping
date: 05/10/2018 07:39:59.331	code: Info	text: self.ping()
date: 05/10/2018 07:39:59.331	code: Info	text: 0
date: 05/10/2018 07:40:14.536	code: Info	text: Connected by ('127.0.0.1', 1257) --> command: ping
date: 05/10/2018 07:40:14.536	code: Info	text: self.ping()
date: 05/10/2018 07:40:14.536	code: Info	text: 0
date: 05/10/2018 07:40:30.179	code: Info	text: Connected by ('127.0.0.1', 1276) --> command: ping
date: 05/10/2018 07:40:30.179	code: Info	text: self.ping()
date: 05/10/2018 07:40:30.179	code: Info	text: 0
date: 05/10/2018 07:40:46.150	code: Info	text: Connected by ('127.0.0.1', 1294) --> command: ping
date: 05/10/2018 07:40:46.150	code: Info	text: self.ping()
date: 05/10/2018 07:40:46.150	code: Info	text: 0
date: 05/10/2018 07:41:25.576	code: Info	text: Connected by ('127.0.0.1', 1306) --> command: ping
date: 05/10/2018 07:41:25.576	code: Info	text: self.ping()
date: 05/10/2018 07:41:25.576	code: Info	text: 0
date: 05/10/2018 07:41:40.609	code: Info	text: Connected by ('127.0.0.1', 1325) --> command: ping
date: 05/10/2018 07:41:40.609	code: Info	text: self.ping()
date: 05/10/2018 07:41:40.609	code: Info	text: 0
date: 05/10/2018 07:41:56.080	code: Info	text: Connected by ('127.0.0.1', 1344) --> command: ping
date: 05/10/2018 07:41:56.080	code: Info	text: self.ping()
date: 05/10/2018 07:41:56.080	code: Info	text: 0
date: 05/10/2018 07:42:11.613	code: Info	text: Connected by ('127.0.0.1', 1361) --> command: ping
date: 05/10/2018 07:42:11.613	code: Info	text: self.ping()
date: 05/10/2018 07:42:11.613	code: Info	text: 0
date: 05/10/2018 07:42:27.037	code: Info	text: Connected by ('127.0.0.1', 1378) --> command: ping
date: 05/10/2018 07:42:27.037	code: Info	text: self.ping()
date: 05/10/2018 07:42:27.037	code: Info	text: 0
date: 05/10/2018 07:42:43.007	code: Info	text: Connected by ('127.0.0.1', 1396) --> command: ping
date: 05/10/2018 07:42:43.023	code: Info	text: self.ping()
date: 05/10/2018 07:42:43.023	code: Info	text: 0
date: 05/10/2018 07:43:28.122	code: Info	text: Connected by ('127.0.0.1', 1407) --> command: ping
date: 05/10/2018 07:43:28.122	code: Info	text: self.ping()
date: 05/10/2018 07:43:28.122	code: Info	text: 0
date: 05/10/2018 07:44:00.267	code: Info	text: Connected by ('127.0.0.1', 1414) --> command: ping
date: 05/10/2018 07:44:00.267	code: Info	text: self.ping()
date: 05/10/2018 07:44:00.267	code: Info	text: 0
date: 05/10/2018 07:44:15.300	code: Info	text: Connected by ('127.0.0.1', 1431) --> command: ping
date: 05/10/2018 07:44:15.300	code: Info	text: self.ping()
date: 05/10/2018 07:44:15.300	code: Info	text: 0
date: 05/10/2018 07:44:30.333	code: Info	text: Connected by ('127.0.0.1', 1448) --> command: ping
date: 05/10/2018 07:44:30.333	code: Info	text: self.ping()
date: 05/10/2018 07:44:30.333	code: Info	text: 0
date: 05/10/2018 07:44:45.366	code: Info	text: Connected by ('127.0.0.1', 1466) --> command: ping
date: 05/10/2018 07:44:45.366	code: Info	text: self.ping()
date: 05/10/2018 07:44:45.366	code: Info	text: 0
date: 05/10/2018 07:45:00.399	code: Info	text: Connected by ('127.0.0.1', 1483) --> command: ping
date: 05/10/2018 07:45:00.415	code: Info	text: self.ping()
date: 05/10/2018 07:45:00.415	code: Info	text: 0
date: 05/10/2018 07:45:16.042	code: Info	text: Connected by ('127.0.0.1', 1500) --> command: ping
date: 05/10/2018 07:45:16.042	code: Info	text: self.ping()
date: 05/10/2018 07:45:16.042	code: Info	text: 0
date: 05/10/2018 07:46:01.166	code: Info	text: Connected by ('127.0.0.1', 1513) --> command: ping
date: 05/10/2018 07:46:01.166	code: Info	text: self.ping()
date: 05/10/2018 07:46:01.166	code: Info	text: 0
date: 05/10/2018 07:46:29.466	code: Info	text: Connected by ('127.0.0.1', 1519) --> command: ping
date: 05/10/2018 07:46:29.466	code: Info	text: self.ping()
date: 05/10/2018 07:46:29.466	code: Info	text: 0
date: 05/10/2018 07:46:44.500	code: Info	text: Connected by ('127.0.0.1', 1537) --> command: ping
date: 05/10/2018 07:46:44.500	code: Info	text: self.ping()
date: 05/10/2018 07:46:44.500	code: Info	text: 0
date: 05/10/2018 07:46:59.548	code: Info	text: Connected by ('127.0.0.1', 1554) --> command: ping
date: 05/10/2018 07:46:59.548	code: Info	text: self.ping()
date: 05/10/2018 07:46:59.548	code: Info	text: 0
date: 05/10/2018 07:47:14.628	code: Info	text: Connected by ('127.0.0.1', 1571) --> command: ping
date: 05/10/2018 07:47:14.628	code: Info	text: self.ping()
date: 05/10/2018 07:47:14.628	code: Info	text: 0
date: 05/10/2018 07:47:29.833	code: Info	text: Connected by ('127.0.0.1', 1588) --> command: ping
